"EDINBURGH, THE ACADEMY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT249748,Long,-3.204489,Lat,55.960321,Elevation,70,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,1.18,2.54,1.78,2.13,2.07,2.45,3.43,1.57,1.12,1.97,2.05,2.63,2,3.69,0.72,2.68,2,2.85,2.22,1.71,1.04,3.61,2.15,3.34,3.19,1.09,1.49,3.12,1.89,1.52,2.95,1.65,2.07,4.47,2.68,1.18,1.78,2.43,0.32,2.34,1.62,1.31,,,,
February,,,,,,1.7,3.59,0.59,2.51,1.9,2.21,0.37,1.97,2.45,0.71,2.86,2.99,1.02,2.91,0.99,0.45,1.65,0.3,1.42,0.11,1.47,2.06,2.99,0.31,1.23,0.87,3.14,1.32,1.27,0.66,2.55,1.67,1.97,2.15,1.08,1.79,1.87,0.53,0.5,1.25,1.5,1.71,,,,
March,,,,,,1.18,2.92,1.16,0.64,1.12,2.29,2.2,1.16,0.73,1.47,2.19,1.35,1.43,1.86,0.24,1.91,1.82,2.68,0.92,2.89,1.03,1.57,2,0.51,2.38,2.2,3.25,1.93,1.26,0.41,0.7,1.18,3.43,0.61,0.76,1.88,2.14,0.91,0.49,1.13,1.4,1.48,,,,
April,,,,,,1.09,1.89,1.35,0.63,2.35,1.52,0.55,1.48,2.03,1.3,2.37,1.34,1.44,0.6,1.7,1.33,2.14,1.76,1.62,3.68,2.92,0.97,1.08,0.06,1.67,1.7,0.88,1.36,0.71,1.87,0.96,0.18,2.58,1.36,0.65,1.65,2.37,1.23,1.69,1.93,0.46,0.6,,,,
May,,,,,,1.26,3.26,1.37,3.28,0.72,2.29,1.73,1.12,1.23,4.12,3.71,3.2,1.93,1.35,1.88,1.17,2.76,2.91,1.59,1.2,0.8,0.81,2.21,4.37,0.69,1.13,2.91,1.66,3.24,1.98,3.39,1.68,2.84,2.48,1.58,1.44,2.98,1.57,1.56,4.29,1.66,1.35,,,,
June,,,,,,1.34,2.71,1.37,0.5,1.58,1.05,0.42,1.65,1.01,1.45,0.43,2.36,3.43,4.62,2.15,1.69,4.43,1.09,1.64,1.93,3.21,1.08,1.24,2.65,0.99,0.52,0.94,0.88,1.99,1.61,1.27,1.5,2.71,3.78,0.79,1.87,1.99,1.93,1.24,2.31,0.79,,,,,
July,,,,,,2.02,5.51,1.19,3.31,0.66,4.58,2.11,3.37,2.4,3.79,1.52,2.44,3.16,2.05,2.24,4.15,3.46,1.83,4.82,2.37,0.67,3.41,4.91,2.47,2.33,8.17,3.25,3.7,1.81,2.23,2.56,2.84,1.51,1.82,2.29,4.05,4.38,2.37,4.62,1.99,1.22,,,,,
August,,,,,,5.6,4.08,4.29,1.5,1.86,4.94,4.01,1.4,4.52,2.36,3.16,1.77,7,3.73,4.23,5.55,4.93,0.35,0.87,3.29,2.02,1.48,5.06,1.21,0.98,0.37,2.12,1.96,3.14,2.86,2.1,2.9,0.19,7.48,2.46,2.36,3.75,3.18,1.61,4,0.97,,,,,
September,,,,,,2.18,0.93,0.95,3.71,1.83,1.35,1.84,1.72,1.75,2.88,3.88,3.91,7.19,2.37,0.3,3.59,1.46,2.29,1.58,1.8,2.8,2.84,1.17,1.67,2.05,2.4,1.07,2.06,1.23,4.4,4.15,3.54,1.5,2.83,1.92,4.22,1.38,1.51,2.2,2.73,1.05,,,,,
October,,,,,,2.56,4.37,2.67,2.79,2.26,0.83,3.67,1.46,1.56,2.95,1.69,3.31,2.99,3.14,2.64,2.66,1.31,5.53,2.18,2.88,5.57,1.36,3.39,5.27,1.92,2.42,2.87,1.65,2.94,2.19,3.16,0.95,1.46,1.59,4.06,2.61,0.12,1.34,0.96,6.83,1.35,,,,,
November,,,,,,0.95,2.91,2.09,1.45,5.01,1.61,0.98,0.84,2.7,1.01,0.77,3.3,1.35,2.52,3.24,3.45,4.18,1.75,1.36,0.94,3.47,1.97,0.25,3.88,2.83,3.42,1.68,0.31,0.78,4.71,0.24,2.9,2.66,2.34,1.89,2.62,3.19,2.21,2.93,3,0.69,,,,,
December,,,,,,4.21,2.59,1.86,1.57,2.78,2.32,2.68,2.58,2.25,2.86,3.19,0.55,1.58,2.18,3.63,1.69,0.84,4.41,0.74,2.2,1.25,2.1,2.02,2.78,0.59,2.09,0.46,1.04,0.77,1.97,1.71,1.83,1.97,1.9,3.75,2.08,1.81,2.09,2.65,1.97,3.55,2.53,,,,
Total,,,,,,25.27,37.3,20.67,24.02,24.14,27.44,23.99,20.32,23.75,26.87,27.82,29.15,34.52,31.02,23.96,30.32,30.98,27.75,20.96,25,26.25,23.26,28.47,28.52,20.85,26.38,24.06,20.99,21.03,26.41,25.74,22.82,24.89,32.81,23.91,27.75,27.76,21.3,20.77,33.77,16.26,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921 Jan 3.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
