MOSEDALE (ARTLE BRAG),,,,,,,,,,,,
Grid ref,NY482102,Long,-2.801050,Lat,54.484487,,,,,,,
Station no,3662/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.88,9.50,6.10,8.80,9.10,7.00,20.00,12.15,6.55,14.12,,
February,9.50,2.20,4.20,7.60,3.50,1.51,9.27,10.80,4.60,13.26,,
March,6.00,9.50,2.00,7.50,4.20,3.19,11.60,2.50,8.15,2.85,,
April,7.00,7.25,5.30,2.10,4.00,2.27,3.34,3.00,10.12,8.35,,
May,3.60,3.90,5.00,6.60,8.80,6.62,6.10,9.46,2.56,4.03,,
June,3.30,6.75,4.20,10.30,6.40,5.40,3.47,7.24,7.72,7.40,,
July,6.50,4.45,14.60,9.55,3.60,7.95,7.85,7.20,8.22,10.91,,
August,9.52,11.57,10.25,10.25,2.75,13.25,11.26,7.45,1.36,5.99,,
September,15.73,11.00,13.60,17.00,7.00,6.20,10.00,13.23,2.15,6.25,,
October,1.55,11.00,6.00,24.60,8.10,8.00,16.80,11.85,13.62,7.15,,
November,21.70,6.50,18.10,23.60,5.25,3.85,4.13,2.07,16.84,17.70,,
December,20.00,9.20,7.10,12.00,13.95,13.20,9.04,7.16,17.20,10.82,,
Total,114.28,92.82,96.45,139.90,76.65,78.44,112.86,94.11,99.09,108.83,,
Calc annual,114.28,92.82,96.45,139.90,76.65,78.44,112.86,94.11,99.09,108.83,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
