MOSEDALE (ARTLE CRAG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY482102,Long,-2.80105,Lat,54.484487,Elevation,2134,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3662/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,12.68,19,17.82,3.66,2.59,11.66,18,17.03,8,14.72,,18.06,8.74,6.19,,9.5,6.1,,,,20,,6.55,14.12
February,,,,,,,11.5,7.06,16.98,3.77,11.89,3.65,9.28,4.25,11.81,-999,,9,10.95,-999,,2.2,4.2,,,1.51,9.27,,4.6,13.26
March,,,,,,,4.18,11.46,8.39,12.32,4.87,12.16,5.12,1.52,7.18,-999,,9.32,3.5,-999,,9.5,2,,4.2,3.19,11.6,,8.15,2.85
April,,,,,,,7,0.23,4.68,3.58,3.39,8.1,7.82,5.52,6,3.4,18.4,5.48,9.21,9.08,,7.25,5.3,2.1,4,2.27,3.34,3,10.12,8.35
May,,,,,,,3.39,7.1,1.59,2.35,6.27,10.31,7.09,4.35,8.2,2.2,4.72,4.09,4.62,4.15,3.6,3.9,5,6.6,8.8,6.62,6.1,9.46,2.56,4.03
June,,,,,,,3.27,11.75,9.06,1.88,0.58,1.64,11.63,9.13,8.18,10.15,7.86,12.15,1.53,5.5,3.3,6.75,4.2,10.3,6.4,5.4,3.47,7.24,7.72,7.4
July,,,,,,,6.72,14,16.16,9.05,2.9,7.15,10.24,5.83,5.54,9.95,6.82,4.95,5.14,9.89,6.5,4.45,14.6,9.55,3.6,7.95,7.85,7.2,8.22,10.91
August,,,,,,,5,7.13,5.51,4.06,13.06,13.7,16.7,5.84,2.85,,0.08,16.85,4.36,18.24,9.52,11.57,10.25,10.25,2.75,13.25,11.26,7.45,1.36,5.99
September,,,,,,,10.62,7.05,5.03,8.5,2.39,13.13,10.54,11.44,10.91,20.25,10.54,11.2,2.37,-999,15.73,11,13.6,17,7,6.2,10,13.23,2.15,6.25
October,,,,,,,5.52,31.8,3.58,11.5,12.93,14.95,14.3,11.22,13.55,2.13,4.39,8.4,12.78,-999,1.55,11,6,,8.1,8,16.8,11.85,13.62,7.15
November,,,,,,,3.36,15.4,17.15,14.07,9.09,2.72,6.5,17.8,0.78,21.42,,9.34,18.92,8.7,21.7,6.5,18.1,,5.25,3.85,4.13,2.07,16.84,17.7
December,,,,,,,5.95,9.49,6.82,9.75,9.23,13.9,6.85,6.1,6.95,10.8,,15,19.5,2.93,,9.2,7.1,12,13.95,13.2,9.04,7.16,17.2,10.82
Total,,,,,,,79.19,141.47,112.77,84.49,79.19,113.07,124.07,100.03,89.95,,,123.84,101.62,108.62,,92.82,96.45,,,,112.86,,99.09,108.83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1946 Feb/March apportioned, Aug estimated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Jan/Feb/Mar est for snow; Nov/Dec/Total estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1950 Feb/Mar, Sep/Oct apportioned",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1951 Jan/Feb/Mar/Apr, Dec estimated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1954 Jan/Feb/Mar apportioned but part estimated; Oct overflowed, Nov estimated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 Jan/Feb estimated for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Jan estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1958 Jan/Feb/Mar estimated, total estimated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
