SCARISBRICK PINFOLD COTTAGE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD389115,Long,-2.9246719,Lat,53.596493,Elevation,69,ft,,,,,,,,,,,,,
Station no,RR8180,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,1.44,1.89,2.49,3.61,3.01,,,,,,,,,,
February,,,,,,,2.6,1.05,2.67,0.91,1.95,,,,,,,,,,
March,,,,,,1.01,1.8,1.95,1.29,4.68,3.64,,,,,,,,,,
April,,,,,,2.12,2.22,1.92,0.97,1.43,4.06,,,,,,,,,,
May,,,,,,1.22,2.31,2.78,2.71,1.16,4.39,,,,,,,,,,
June,,,,,,1.61,2.04,1.82,1.62,1.71,2.16,,,,,,,,,,
July,,,,,,3.55,2.27,1.18,4.22,1.83,5.1,,,,,,,,,,
August,,,,,,3.69,5.14,6.71,2.42,3.43,1.72,,,,,,,,,,
September,,,,,,0.77,2.33,2.05,9.13,1.88,3.14,,,,,,,,,,
October,,,,,,1.71,5.92,6.89,3.02,2.9,2.18,,,,,,,,,,
November,,,,,,1.84,2.74,3.44,2.21,1.64,1.37,,,,,,,,,,
December,,,,,,5.58,2.18,1.76,6.74,3.97,1.24,,,,,,,,,,
Total,,,,,,,32.99,33.44,39.49,29.15,33.96,,,,,,,,,,
