EAGLESHAM ( PICKETLAW RES. ) NO 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS567516,Long,-4.283878,Lat,55.736527,Elevation,690,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5227/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,9.17,5.02,1.83,1.01,7.94,6.43,8.78,3.55,7.13,3.82,8.65,8.34,3.76,4.95,5.63,3.69,4.92,3.31,2.92,7.2,6.49,1.89,5.33
February,,,,,,,,3.99,7.55,2.36,4.25,1.4,8.72,3.11,10.99,4.82,0.63,6.5,7.69,6.06,4.52,2.62,2.65,4.51,3.06,1.68,3.43,4.04,3.27,6.4
March,,,,,,,,5.7,3.92,5.76,3.52,2.69,4.3,0.6,4.74,3.81,3.21,5.95,3.18,4.52,4.2,4,1.52,4.28,2.16,3.23,5.76,1.9,3.37,1.99
April,,,,,,,,1.19,2.65,3.44,2.66,2.56,4.58,4.1,2.45,2.84,8.34,4.78,6.62,4.97,4.31,3.12,2.43,2.16,3.32,1.47,3.37,2.35,4.39,4.93
May,,,,,,,,5.38,0.9,1.07,3.93,2.75,4.35,4.64,6.51,0.81,3.82,1.14,3.18,1.88,1.81,2.01,2.72,3.93,4.59,3.76,2.56,4.24,1.87,2.42
June,,,,,,,,6.45,2.27,1.72,1.11,2.21,4.48,4.84,5.13,4.42,3.08,6.66,0.91,2.62,2.52,3.84,1.64,4.81,2.39,4.39,3.45,3.76,4.65,2.73
July,,,,,,,,6.7,5.22,3.89,4.19,4.17,2.91,3.65,3.1,5.06,3.9,5.03,2.47,5.88,4.66,2.88,6.43,5.38,2.06,5.35,4.72,5.17,6.49,4.18
August,,,,,,,,3.4,1.73,3.44,6.11,5.96,7.8,5.45,2.06,3.47,0.03,7.51,5.04,6.99,6.26,5.53,3.82,5.72,1.8,5.33,6.06,4.7,1.44,3.4
September,,,,,,,,4.77,2.23,4.97,1.86,7.72,4.24,7.69,6.35,10.3,7.14,9.26,1.9,12.88,4,3.53,6.02,6.89,5.78,5.79,3.99,4.61,1.31,3.72
October,,,,,,,,12.55,2.61,5.01,4.64,9.57,11.8,7.21,8.91,0.6,2.96,7.92,6.5,4.42,1.35,4.85,3.54,11.75,4.02,5.42,7.15,4.48,7.46,3.37
November,,,,,,,,9.1,10.57,7.01,3.33,1.12,4.01,10.01,1.09,6.82,8.95,5.15,6.14,4.77,7.71,2.64,11.47,8.39,2.1,2.07,2.6,2.18,7.01,6.94
December,,,,,,,,3.35,3.17,6.16,3.37,8.04,3.74,6.62,3.54,5.88,4.05,7.07,12.41,2.17,8.01,5.19,6.36,9.28,9.35,8.08,6.81,7.16,8.92,8.64
Total,,,,,,,,71.75,47.84,46.66,39.98,56.13,67.36,66.7,58.42,55.96,49.93,75.62,64.38,60.92,54.3,45.84,52.29,72.02,43.94,49.49,57.1,51.08,52.07,54.05
