CHURSTON-FERRERS-GREENWAY,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX872548,Long,-3.58787,Lat,50.38233,Elevation,145,ft,,,,,,,,,,,,,
Station no,1686,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,9.65,5.82,6.38,1.85,5.61,8.51,7.43,4.99,8.74,3.84,8.55,4.4,6.3,4.1,4.93,0.27,7.8,9.14,,,
February,1.42,0.29,4.03,8.63,1.84,6.24,4.09,4.05,3.95,5.09,2.07,3.29,0.04,6.15,0.16,5.03,4.82,9.21,,,
March,4.76,2.86,4.6,2.99,3.36,0.42,1.12,4.62,4.6,0.48,2.8,3.61,3.63,3.99,4.81,1.62,5.68,7.45,,,
April,4.37,0.76,6.5,4.49,4,3.16,3,2.63,3.05,0.95,3.11,4.11,4.36,2.64,4.19,5.18,4.09,4.05,,,
May,2.41,3.5,0.9,2.47,5.1,5.11,1.75,0.38,1.5,3.31,2.24,2.78,4.5,1.69,1.49,2.95,2,3.79,,,
June,1.79,0.14,0.92,0.28,2.21,0,3.55,2.62,2.22,3.74,0.51,3.82,3.73,2.37,2,5.91,1.23,1.69,,,
July,4.13,0.45,4.97,1.19,5.9,3.82,1.03,3.3,2.48,1.39,2.6,5.97,2.35,3.3,0.61,0.33,6.37,2.36,,,
August,1.48,2.67,4.65,3.07,2.64,3.29,1.38,4.11,2.56,2.7,4.9,5.02,1.89,1.42,3.53,2.65,0.42,1.36,,,
September,1.12,1.56,3.44,3.7,6.23,4.82,0.87,6.01,2.83,0.28,5.23,1.52,6.32,3.16,3.65,5.04,3.32,2.41,,,
October,3.39,1.12,1.77,8.72,7.68,4.79,4.01,4.31,6.96,6.07,4.31,0.64,8.72,1.99,3.11,4.69,1.39,3.24,,,
November,2.78,3.78,4.19,3.6,6.06,4.64,10.45,4.84,6.41,16.21,8.05,9.12,3.15,2.55,2.83,7.19,4.95,3.47,,,
December,7.22,3.11,7.38,4.28,8.75,7.51,0.59,7.01,5.68,11.7,5.54,2.21,4.39,3.31,14.31,6.48,5.3,4.95,,,
Total,44.52,26.06,49.73,45.27,59.38,52.31,39.27,48.87,50.98,55.76,49.91,46.49,49.38,36.67,45.62,47.34,47.37,53.12,,,
,,,,,,,,,,,,,,,,,,,,,
Station started in 1920,,,,,,,,,,,,,,,,,,,,,
No elevation or location info so taken to be in kitchen garden,,,,,,,,,,,,,,,,,,,,,
1939 Station terminated,,,,,,,,,,,,,,,,,,,,,
