NORTHMAVINE LOCHEND,,,,,,,,,,,,,,,,,,,,
Grid ref,HU368842,Long,-1.331126,Lat,60.539685,Elevation,10,ft,,,,,,,,,,,,
Station no,RR6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,5.96,5.43,6.5,5.62,4.79,6.32,5.85,4.02,4.22,5,5.93,,,,
February,,,,,,4.77,5.53,4.05,4.28,2.46,3.96,6.1,3.7,3.95,4.25,3.81,,,,
March,,,,,,2.61,4.63,3.98,3.41,2.54,2.83,3.15,3.37,8.33,4.76,3.88,,,,
April,,,,,,3.11,3.1,2.38,2.08,2.86,6.17,4.09,4.13,2.21,2.62,4.05,,,,
May,,,,,,1.82,4.07,1.46,2.18,2.42,2.47,2.96,3.24,3.16,3.9,2.6,,,,
June,,,,,,1.08,1.17,2.93,2.85,1.52,2.21,3.26,1.72,2.03,1.42,0.6,,,,
July,,,,,,2.88,4.51,1.27,1.9,3.8,2.12,2.07,1.31,0.39,2.86,1.76,,,,
August,,,,,,3.06,2.92,4.25,2.08,2.55,3.7,2.86,4.48,1.71,1.4,2.85,,,,
September,,,,,,2.3,3.01,3.17,3.14,2.04,3.64,4.08,3,1.64,3.18,2.31,,,,
October,,,,,,6.21,4.94,4.77,1.47,6,2.5,2.55,6.78,3.8,3.38,1.3,,,,
November,,,,,,5.54,4.63,6.25,5.43,5.04,6.25,6.2,7.74,5.55,6.45,4.25,,,,
December,,,,,,4.35,5.9,3.16,6.82,5.3,6.44,6.32,6.07,5.93,6.88,4.21,,,,
Total,,,,,,43.69,49.84,44.17,41.26,41.32,48.61,49.49,49.56,42.92,46.1,37.55,,,,
