PAWSTON (COLDSTREAM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT841327,Long,-2.253813,Lat,55.587677,Elevation,328,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,2,0.96,1.86,1.18,3.8,3.06,1.42,0.5,1.18,1.01,1.61,3.34,2.19,3.53,1.72,1.48,0.92,1.84,1.28,1.3,1.47,2.06,3.4,1.15,2.37,0.58,2.94,3.27,1.86,1.42,2.68,1.9,0.8,1.88,0.69,2.18,1.98,2.85,1.9,,2.63,1.56,2.3,2.03,4.98,2.54,
February,,,,1.98,1.62,1.37,2.56,0.8,1.33,2.59,2.22,2.45,1.76,1.96,2.02,1.15,0.92,0.47,1.52,1.51,1.59,0.12,2.53,3.51,3.59,1.47,0.9,0.93,1.68,1.18,6.52,4.35,1.35,1.32,2.39,0.79,1.15,1.22,1.64,2.4,2.8,2.01,,0.77,1.73,3.45,3.82,1.2,1.64,
March,,,,1.26,1.24,0.99,2.09,3.33,1.02,1.6,2.01,1.92,2.22,2.72,2.47,1.89,3.86,1.94,3.7,3.87,2.15,4.98,1.79,0.57,0.89,3.35,2.01,3.75,1.66,1.78,2.27,2.21,0.85,1.03,1.84,1.74,1.62,1.25,4.09,6.62,0.69,3.13,,3.4,2.63,2.78,3.89,2.96,0.66,
April,,,,0.28,1.22,0.83,4.65,3.88,1.81,2.39,2.05,1.55,3.97,1.77,1.08,3.02,1.79,1.12,1.57,3.91,0.87,1.89,1.28,0.88,1.02,1.27,1.08,1.57,2.13,2.54,2.2,1.61,1.74,0.85,1.26,3.11,1.55,2.64,1.55,3.59,2.66,2.36,,2.31,0.49,0.74,1.93,5.77,0.97,
May,,,,1.79,1.29,0.94,0.8,2.47,2.01,2.25,1.72,2.32,2.53,1.94,2.01,4,3.34,1.83,0.72,1.34,1.56,2.06,2.8,1.52,3.32,0.61,1.45,1.21,1.9,3.01,1.1,2.2,3.77,2.03,2.66,1,8.1,3.41,2.36,1.54,2.03,1.05,,2.61,1.86,1.55,4.03,2.04,2.62,
June,,,,1.58,0.75,1.37,1.58,2.77,1.94,3.76,1.88,2.26,3.7,2.91,0.94,0.75,1.44,0.44,2.58,0.85,3.81,0.59,3.32,3.02,2.55,1.49,2.02,3.28,1.59,1.55,3.3,1.28,2.59,2.12,1.88,0.57,1.83,4.16,1.45,2.16,1.37,6.3,,1.32,3.07,1.28,2.83,1.15,0.64,
July,,,,2.87,3.56,2.62,1.11,4.18,1.13,5.88,4,3.94,2,4.78,3.74,1.01,3.18,2.22,4.35,4.76,2.22,3.17,1.75,4.57,2.64,4.91,2.84,3.7,1.5,2.6,2.37,3.77,1.74,4.59,1.81,1.57,2.49,2.4,2.44,3.76,4.13,1.09,,0.6,2.63,3.79,4.62,1.45,3.69,
August,,,,2.69,3,1.58,1.65,8.21,5.68,2.58,1.18,6.79,2.11,2.52,1.06,2.74,1.01,3,1.87,4.52,4.65,4.53,4.4,2.13,3.96,5.84,2.27,2.4,2.11,1.19,5.41,2.12,1.77,2.84,2.98,3.35,5.25,2.38,2.38,3.05,4.82,2.34,7.01,1.4,1.83,2.18,3.65,6.11,2.32,
September,,,4.88,1.78,1.72,2.05,4.34,2.01,2.39,0.8,5.03,4.98,1.85,3.49,3.19,2.62,2.35,5.28,1.48,1.67,1.58,4.84,1.57,1.52,1.65,0.26,5.01,3.2,0.93,3.93,1.18,0.96,0.98,2.27,0.86,2.52,0.62,0.76,2.4,2.96,1.41,1.99,3.12,2.12,0.78,2.37,3.09,1.5,5.86,
October,,,4.26,4.33,2.55,3.76,1.22,4.38,2.52,0.96,4.17,3.72,3.7,2.9,1.38,3.54,4.32,1.92,1.3,5.71,2.49,1.54,5.59,1.3,4.43,7.02,7.46,1.42,6.53,2.31,5.43,1.53,2.01,6.99,1.01,3.93,7.06,7.31,1.5,3.85,3.11,4.84,3.27,1.8,1.96,1.35,3.67,3.02,3.68,
