HAWES - LUNDS - BECKSIDE,,,,,,,,,,,,,,,,,,,
Grid ref,SD792946,Long,-2.321,Lat,54.347,Elevation,1100,ft,,,,,,,,,,,
Station no,RR3014,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893
January,10.26,4.41,11.69,8.84,1.71,1.26,0.73,6.35,,,,,,,,9.79,5.79,6.82,2.40
February,1.88,9.29,7.67,2.17,3.81,8.13,4.85,7.30,,,,,,,,2.28,1.28,3.87,13.26
March,2.58,9.22,5.41,4.89,5.63,3.64,10.03,9.20,,,,,,,,7.69,5.04,1.34,2.73
April,2.34,2.86,3.26,2.14,1.82,3.05,2.50,,,,,,,,,2.44,2.32,2.55,0.87
May,4.02,1.30,3.78,6.41,2.25,3.02,6.01,,,,,,,,4.13,3.27,3.35,5.06,2.26
June,4.80,3.98,5.15,4.99,7.08,5.39,6.30,,,,,,,,0.63,5.15,2.03,4.45,2.49
July,3.34,4.64,6.63,1.94,7.80,6.93,8.80,,,,,,,,4.20,4.40,7.22,3.24,5.15
August,4.87,5.33,8.19,7.16,7.31,2.28,8.04,,,,,,,,8.82,9.87,11.68,10.52,6.07
September,6.67,5.27,5.92,7.28,4.46,5.22,3.24,,,,,,,,2.81,2.98,8.17,6.98,
October,5.08,3.35,10.17,7.03,3.94,3.76,5.66,,,,,,,,9.63,7.02,7.23,11.02,
November,7.87,3.70,10.70,5.54,3.08,10.64,9.92,,,,,,,,1.50,10.84,6.05,4.30,
December,6.64,9.22,7.17,4.01,7.70,8.13,7.34,,,,,,,,4.56,1.18,11.24,4.42,
Total,60.35,62.57,85.74,62.40,56.59,61.45,73.42,,,,,,,,,66.91,71.40,64.57,
,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_08_pt3/037,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_11_pt2/021,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_17_pt1/170,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
# The gauge moved to Shaw Paddock for the period April 1882 - April 1889.,,,,,,,,,,,,,,,,,,,
# In September 1993 the gauge moved to South Lunds School House.,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
# The reading for September 1893 is an estimate and has been omitted.,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
# Monthly values may be unreliable due to the gauge only being read on Sundays.,,,,,,,,,,,,,,,,,,,
# Annual totals should be less affected by this feature.,,,,,,,,,,,,,,,,,,,
