HAWES - LUNDS - SOUTH LUNDS SCHOOL HOUSE,,,,,,,,
Grid ref,SD793934,Long,-2.320,Lat,54.336,Elevation,1100,ft
Station no,RR3014,,,,,,,
,,,,,,,,
,1893,1894,1895,1896,1897,1898,1899,
January,,6.53,4.28,5.04,1.89,,,
February,,9.39,0.11,1.86,6.09,,,
March,,6.26,7.49,7.91,8.55,,,
April,,2.53,2.57,2.66,3.72,,,
May,,3.09,1.46,0.46,1.90,,,
June,,3.99,2.44,4.00,4.23,,,
July,,5.14,9.04,3.73,3.09,,,
August,,5.66,8.50,2.94,9.12,,,
September,,0.90,2.04,8.35,7.00,,,
October,7.11,4.90,5.26,4.72,3.29,,,
November,4.01,8.49,6.08,1.90,5.78,,,
December,7.46,5.09,5.91,6.49,9.39,,,
Total,,61.97,55.18,50.06,64.05,,,
,,,,,,,,
TYRain_1890-1899_17_pt1/170,,,,,,,,
,,,,,,,,
# The gauge came from Beckside In September 1993.,,,,,,,,
#,,,,,,,,
# The reading for September 1893 is an estimate and has been omitted.,,,,,,,,
#,,,,,,,,
# Monthly values may be unreliable due to the gauge only being read on Sundays.,,,,,,,,
# Annual totals should be less affected by this feature.,,,,,,,,
