"ILKISTON (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,SK482395,Long,-1.284060,Lat,52.950723,,,,,,,
Station no,2711/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.11,1.81,0.76,1.29,2.24,3.43,1.59,2.69,3.26,5.54,,
February,2.70,0.51,1.79,2.20,1.51,0.54,2.49,3.50,0.21,2.03,,
March,3.50,2.50,1.13,1.94,2.30,0.83,2.49,1.67,1.27,1.55,,
April,1.70,1.56,2.13,0.39,1.13,1.71,0.15,0.80,2.46,1.03,,
May,2.72,2.54,1.97,2.14,2.65,0.54,0.79,2.08,0.45,1.13,,
June,1.18,2.46,2.78,3.38,3.74,3.01,1.61,4.13,1.09,2.22,,
July,0.61,1.95,1.94,1.92,0.73,2.29,2.22,4.45,1.16,3.18,,
August,4.60,1.89,1.97,4.69,0.71,5.83,3.60,2.34,0.95,3.77,,
September,1.30,1.16,1.53,2.77,0.48,2.43,5.78,2.54,0.06,3.82,,
October,0.74,2.76,2.07,3.15,1.66,1.17,1.29,2.07,2.24,5.15,,
November,4.70,1.49,1.71,4.65,1.66,0.85,2.23,1.33,2.29,2.86,,
December,1.67,2.44,0.88,2.51,1.88,2.59,2.06,3.10,3.57,3.28,,
Total,27.53,23.07,20.66,31.03,20.69,25.22,26.30,30.70,19.01,35.56,,
Calc annual,27.53,23.07,20.66,31.03,20.69,25.22,26.30,30.70,19.01,35.56,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
