ABBOTS-BROMLEY-PORT-FIELDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK067237,Long,-1.9020428,Lat,52.810806,Elevation,316,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2361/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,3.3,3.19,3.42,4.53,2.99,1.96,2.69,2.4,4.83,1.72,1.19,1.65,2.36,0.79,1.1,2.24,3.5,1.24,1.92,2.81,4.92
February,,,,,,,,,,2.56,2.25,1.23,0.91,1.96,2.32,4.72,2.53,1.09,0.52,4.31,2.56,0.69,1.84,2.57,2.18,0.74,2.08,4.21,0.37,1.93
March,,,,,,,,,,1.92,2.71,2.03,1.08,0.21,1.05,0.85,4.78,0.91,2.13,0.79,3.52,2.01,1.14,1.97,2.85,1.31,1.83,1.51,1.74,1.89
April,,,,,,,,,1.81,3.47,1.7,1,1.4,2.66,1.57,1.06,1.81,2.59,2.66,2.44,2.09,2.24,2.46,0.36,1.3,1.35,0.24,0.54,2.59,1.1
May,,,,,,,,,1.54,2.17,2.83,2.9,2.6,0.48,3.59,1.88,2.85,1.67,1.53,1.15,3.24,3.14,2.87,2.41,3.87,0.82,0.93,2.04,0.88,1.55
June,,,,,,,,,0.92,0.75,1.02,0.18,2.75,2.14,2.52,2.31,1.85,2.97,0.5,0.9,1.77,3.27,2.89,3.71,3.67,2.35,2,4.16,0.9,2.82
July,,,,,,,,,4.57,2.8,5.36,2.07,1.51,2.93,1.67,1.73,4.12,2.2,2.77,1.5,1.04,1.19,2.87,3.06,1.01,2.04,3.2,4.88,1.15,3.5
August,,,,,,,,,3.31,0.42,3.6,2.33,2.46,1.6,2.54,4.98,0.87,6.6,2.36,3.06,5.49,1.71,2.73,4.81,0.77,4.5,5.34,2.75,0.79,4.84
September,,,,,,,,,1.22,0.76,0.42,1.24,2.72,2.82,2.37,4.04,1.85,2.29,1.05,4.16,2.21,1.31,1.87,2.21,2.22,2.49,6.05,2.64,0.2,5.01
October,,,,,,,,,3.25,3.18,2.91,2.5,1.95,3.01,4.15,0.69,0.51,2.48,3.46,1.15,0.68,3.99,1.45,4.18,1.58,1.63,1.73,2.39,1.98,5.32
November,,,,,,,,,3.85,6.89,2.93,1.29,1.94,4.33,0.34,5.01,2.62,1.57,2.76,3.19,6.57,1.61,1.66,4.47,2.32,0.81,1.98,1.52,3.81,3.37
December,,,,,,,,,2,1.75,1.38,2.84,0.9,2.21,1.93,2.89,2.16,4.55,2.15,1.52,2.48,3.4,1.25,3.25,2.04,3.34,1.22,3.28,3.22,3.05
Total,,,,,,,,,,29.97,30.3,23.03,24.75,27.34,26.01,32.85,28.35,33.75,23.61,25.36,33.3,26.92,23.82,34.1,26.05,24.88,27.84,31.84,20.44,39.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is Port Fields. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 1940 adjusted for snow; left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
