"PENISTONE, INGBIRCHWORTH RES. - new gauge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE220059,Long,-1.669433,Lat,53.549277,Elevation,853,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,3169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,2.39,2.37,4.27,5.22,2.74,9.88,1.62,6.59,3.68,4.63,3.99,3.98,1.87,2.96,5.28,4.57,5.17,3.37,3.99,3.11,5.27,6.16,3.8,4.75,3.53,8.36,,
February,,,,4.99,1.03,5.47,2.7,1.44,5.52,0.43,0.99,4.71,0.34,7.63,0.18,5.07,3.32,4.28,1.28,2.4,2.61,4.64,1.23,2.66,1.81,3.82,4.87,3.94,2.35,,
March,,,,2.07,0.9,1.95,1.21,4.56,3.22,0.31,3.16,0.38,2.46,2.03,4.28,1.31,2.91,2.87,0.45,3.21,2.73,5.18,1.99,1.7,0.49,0.96,1.86,6.51,1.53,,
April,,,,2.42,2.03,3.57,2.72,4.7,1.57,1.83,3.99,5.49,4.36,1.51,2.96,3.3,1.36,2.92,0.39,1.81,3,2.52,1.49,2.33,2.28,2.28,1.91,4.32,2.27,,
May,,,,3.94,3.45,5.15,3.66,1.38,2.28,2.51,1.98,2.84,6.29,2.32,2.19,0.29,1.25,3.06,3.4,2.33,0.66,3,3.33,3.01,2.7,5.3,2.59,3.02,1.78,,
June,,,,0.98,1.38,0.08,3.63,4.22,4.34,1.29,2.84,4.91,0.72,2.52,1.36,3.38,4.81,0.85,2.57,2.67,0.7,0.59,1.2,2.06,1.82,3.03,3.8,2.61,3.66,,
July,,,,3.21,2.58,1.05,3.89,3.56,1.21,3.17,6.85,3.54,4.47,2.65,2.2,0.94,3.27,2.1,3.51,6.02,3.39,1.8,2.9,1.6,2.66,1.8,3.21,1.84,1.19,,
August,,,,3.53,1.44,3.89,2.96,6.46,3.8,3.14,4.76,6.49,2.33,0.73,1.25,2.28,0.92,0.55,3.13,1.48,0.76,3.72,4.66,3.14,3.28,3.17,4.08,0.39,5.01,,
September,,,,3.04,3.01,3.11,2.15,5.71,0.27,1.14,5.42,4.59,2.49,3.03,3.04,5.45,3.94,1.57,2.65,1.67,2.26,0.4,1.9,3.99,5.36,1.5,5.38,1.51,1.23,,
October,,,,3.57,4.4,4.26,4.12,4.88,5.94,4.99,5.38,1.1,6.47,5.22,4.03,7.14,4.64,3.62,7.36,3.37,5.04,4.33,3.38,2.45,4.09,5.93,1.46,1.02,1.68,,
November,,,1.82,6.71,3.07,2.96,6.16,5.66,7.77,8.89,5.12,5.76,3.64,2.11,2.22,6.42,4.83,1.92,4.28,6.46,7.39,3.46,1.44,2.86,6.84,0.45,6.82,4.17,1.01,,
December,,,2.85,3.09,4.26,5.07,1.51,2.35,3.35,9.94,3.64,1.86,1.42,0.59,4.63,2.55,3.69,2.4,3.38,3.25,2.99,1.59,2.66,1.79,3.77,2.44,3.59,3.8,3.83,,
Total,,,,39.94,29.92,40.83,39.93,47.66,49.15,39.26,50.72,45.35,39.62,34.33,32.32,40,37.9,31.42,36.97,39.84,34.9,35.22,29.29,32.86,41.26,34.48,44.32,36.66,33.9,,
