STONEBYRES WEIR,,,,,,,,,,
Grid ref,NS 85321 44065,Long,-3.825168,Lat,55.676484,Elevation,306,ft,,
Station no,5167/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,3.2,1.5,1.67,3.51,2.4,1.04,2.83
February,,,,2.24,1.64,1.39,2.35,2.24,0.84,2.8
March,,,,1.85,1.55,1.66,2.26,1.12,1.57,1.68
April,,,,1.15,0.7,0.76,1.16,0.76,2.6,2.28
May,,,,3.43,1.91,1.09,2.18,2.29,1.39,1.59
June,,,,1.7,1.07,2.37,1.6,2.98,3.87,1.41
July,,,,2.61,1.61,3.82,3.7,5.51,3.48,2.34
August,,,,3.67,1.8,6.2,4.03,3.91,0.59,2.4
September,,,,4.34,2.48,4.04,2.55,3.84,0.84,1.91
October,,,2.12,6.53,2.06,3.02,3.31,2.26,3.78,2.39
November,,,3.74,4.8,0.99,0.74,1.38,1.3,4.91,3.81
December,,,3.54,4.28,4.67,3.25,3.4,4.65,3.27,4.37
Total,,,,39.8,21.98,30.01,31.43,33.26,28.18,29.81
,,,,,,,,,,
Station no,5167/4,,,,,,,,,
Midas,13566,,,,,,,,,
Hyd Stn,654080,,,,,,,,,
