"ST. PANCRAS CAMDEN SQUARE,LONDON NW1",,,,,,,,,,,,
Grid ref,TQ296846,Long,-0.132423,Lat,51.545421,,,,,,,
Station no,46,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.84,1.64,0.92,1.04,2.48,3.60,1.59,,,,,
February,5.04,0.90,1.48,2.22,1.61,0.30,3.11,,,,,
March,3.22,2.97,0.43,2.15,1.14,0.99,1.05,,,,,
April,2.58,1.25,2.50,0.29,0.43,1.16,0.26,,,,,
May,2.12,1.07,1.41,1.64,4.49,0.43,1.22,,,,,
June,1.16,1.59,1.63,3.42,2.29,2.34,0.61,,,,,
July,1.46,0.70,4.09,3.01,0.23,5.90,3.32,,,,,
August,3.66,2.54,2.08,3.41,0.95,5.05,2.64,,,,,
September,2.57,2.76,1.78,1.76,2.34,2.14,2.48,,,,,
October,0.91,2.61,2.79,2.19,2.79,2.24,1.99,,,,,
November,4.83,3.85,0.83,3.21,0.57,0.38,2.40,,,,,
December,1.80,2.38,0.63,1.57,2.03,2.75,1.68,,,,,
Total,32.19,24.26,20.57,25.91,21.35,27.28,22.35,,,,,
Calc annual,32.19,24.26,20.57,25.91,21.35,27.28,22.35,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
