ELGIN,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ 219 626,Long,-3.309641,Lat,57.64653,Elevation,70,ft,,,,,,,,,,,,
Station no,RR2702,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,2.1,1.77,2.88,1.99,1.32,1.67,1.65,,,,,,,,
February,,,,,,1.6,1.35,0.33,0.61,1.21,1.35,1.42,,,,,,,,
March,,,,,,1.5,0.27,1.53,3.16,2.06,2.65,1.8,,,,,,,,
April,,,,,,1.8,3.4,1.36,0.89,3.19,1.38,1.62,,,,,,,,
May,,,,,,0.8,1.81,0.84,3.11,0.29,1.57,2.18,,,,,,,,
June,,,,,,2.5,2.89,2.54,1.35,1.63,2.36,,,,,,,,,
July,,,,,,3.8,2.89,1.37,4.71,1.94,2.66,,,,,,,,,
August,,,,,,1.9,1.57,1.51,2.01,1.28,3.22,,,,,,,,,
September,,,,,,0.9,4.31,5.42,1.48,1.69,2.24,,,,,,,,,
October,,,,,,2.2,1.4,0.85,3.18,7.64,2.67,,,,,,,,,
November,,,,,,0.9,3.17,3.5,1.12,2.34,1.81,,,,,,,,,
December,,,,,,2.2,2.14,1.79,1.6,4.77,2.13,,,,,,,,,
Total,,,,,,22.2,26.97,23.92,25.21,29.36,25.71,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3 miles to Urquart Location,,,,,,,,,,,,,,,,,,,,
1858 Sep may have been interpolated,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_08_pt1-page-043.csv,,,,,,,,,,,,,,,,,,,,
discounted part dup,,,,,,,,,,,,,,,,,,,,
