LAVENHAM-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL911491,Long,0.789107,Lat,52.107206,Elevation,220,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,2.05,,0.1,0.75,1.47,1.72,1.86,1.66,1.86,1.46,0.78,0.8,3,1.88,1.01,1.7,1.68,1.9,1.36,1.85,0.93,2.03,2.7,0.41,0.47,1.91,2.15,0.95,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,0.71,,1.78,2.51,1.03,2.86,0.96,2.31,0.38,0.52,1.17,1.49,1.1,0.1,2.23,3.11,1.38,0.15,0.96,1.91,0.64,1.35,2.75,0.57,0.6,0.49,2.62,1.01,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,0.66,,1.02,1.64,1.83,1.02,1.18,2,1.69,1.57,3.1,1.59,2.83,1.33,1.56,0.46,0.72,1.75,3.14,2.81,1.36,0.87,1.12,1.83,1.19,1.87,1.58,1.79,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,1.79,,2.26,1.24,2.9,1.11,0.82,1.18,1.04,1.42,1.07,1.91,1.02,0.49,1.2,0.1,1.53,0.99,0.69,2.38,1.1,2.53,0.68,2.03,0.85,2.4,0.92,1.91,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,4.37,,0.5,1.16,1.45,1.53,0.58,3.31,2.86,1.94,0.84,4.37,2.27,2.14,1.63,1.14,2,0.82,0.51,1.15,2.31,2.29,0.89,1.07,2.29,2.26,1.37,1.65,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,1.38,,2.26,1.41,2.76,2.45,0.79,0.93,0.9,0.25,2.64,1.41,2.58,0.88,2.97,0.65,1.96,0.46,2.83,2.02,3.17,1.36,2.72,2.15,2.36,4.39,0.99,2.19,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,0.21,,3.75,0.6,2.84,3.24,1.92,1.04,3.29,1.76,4.13,1.74,4.07,3.72,2.2,3.07,4.47,3.44,0.9,1.31,1.18,3.45,1.3,1.28,1.33,4.6,1.84,0.51,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,2.65,,1.09,3.99,2.35,0.59,1.01,1.03,1.2,1.33,2.64,2.91,3.23,3.29,3.22,2,2.34,3.24,2.91,2.07,1.55,1.36,2.95,1.11,3.38,3.84,1.76,1.98,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,0.46,,2.84,2.49,3.42,3.39,2.88,5.4,1.27,2.65,3.25,1.84,0.94,0.97,3.67,0.88,0.89,0.67,4.86,3.09,0.21,2.55,0.54,0.8,0.82,2.59,0.92,1.61,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,2.66,,4.18,2.81,4.46,2.97,1.88,4.41,2.45,2.21,1.27,4.21,1.58,3.69,5.04,2.16,2.6,2.15,2.71,0.66,1.97,1.76,1.9,2.66,1.62,4.42,0.73,1.3,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
