"LAVENHAM HALL",,,,,,,,,,,,
Grid ref,TL911491,Long,0.789107,Lat,52.107206,,,,,,,
Station no,RR1601,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.70,0.41,0.47,1.91,2.15,0.95,3.58,,,,,
February,2.75,0.57,0.60,0.49,2.62,1.01,1.94,,,,,
March,1.12,1.83,1.19,1.87,1.58,1.79,1.91,,,,,
April,0.68,2.03,0.85,2.40,0.92,1.91,0.83,,,,,
May,0.89,1.07,2.29,2.26,1.37,1.65,1.00,,,,,
June,2.72,2.15,2.36,4.39,0.99,2.19,2.37,,,,,
July,1.30,1.28,1.33,4.60,1.84,0.51,0.39,,,,,
August,2.95,1.11,3.38,3.84,1.76,1.98,0.67,,,,,
September,0.54,0.80,0.82,2.59,0.92,1.61,1.46,,,,,
October,1.90,2.66,1.62,4.42,0.73,1.30,3.63,,,,,
November,1.82,1.05,1.36,2.02,1.11,1.99,3.66,,,,,
December,2.48,2.87,1.00,1.02,1.89,0.77,2.07,,,,,
Total,21.85,17.83,17.27,31.81,17.88,17.66,23.51,,,,,
Calc annual,21.85,17.83,17.27,31.81,17.88,17.66,23.51,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
