"SEAGAHAN RESERVOIR",,,,,,,,,,,,
Grid ref,IH898379,Long,-6.621827,Lat,54.282142,,,,,,,
Station no,6192/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,2.47,5.57,3.96,2.70,3.71,,
February,,,,,,0.98,3.07,4.41,1.19,3.26,,
March,,,,,,3.41,3.01,1.26,3.46,2.51,,
April,,,,,,0.71,1.34,1.35,3.46,3.19,,
May,,,,,,1.34,2.09,2.74,1.53,3.49,,
June,,,,,4.25,3.42,1.41,6.50,2.39,3.08,,
July,,,,,1.49,3.84,3.93,4.93,3.33,5.12,,
August,,,,,1.61,6.02,5.73,5.20,1.19,4.13,,
September,,,,,3.29,3.59,3.81,3.93,1.82,3.01,,
October,,,,,1.61,2.35,3.91,3.84,4.77,5.58,,
November,,,,,2.62,2.61,1.53,1.81,3.81,3.82,,
December,,,,,4.85,6.49,5.13,6.14,6.92,3.38,,
Total,,,,,,37.23,40.53,46.07,36.57,44.28,,
Calc annual,0.00,0.00,0.00,0.00,19.72,37.23,40.53,46.07,36.57,44.28,,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,-0.00,0.00,0.00,,
