"EAST FARLEIGH LOCK",,,,,,,,,,,,
Grid ref,TQ736535,Long,0.486338,Lat,51.254239,,,,,,,
Station no,357/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,2.24,2.35,2.64,,
February,,,,,,,,2.28,0.06,1.87,,
March,,,,,,,,1.26,1.80,1.11,,
April,,,,,,,,1.48,2.08,1.02,,
May,,,,,,,,2.02,0.55,2.44,,
June,,,,,,,,3.69,1.05,1.12,,
July,,,,,,,,1.67,1.70,3.07,,
August,,,,,,,,4.38,0.99,5.13,,
September,,,,,,,,2.58,0.13,3.93,,
October,,,,,,,,2.95,2.65,6.44,,
November,,,,,,,,1.52,3.27,5.09,,
December,,,,,,,,3.82,4.63,3.20,,
Total,,,,,,,,29.89,21.26,37.06,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.89,21.26,37.06,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
