MIDDLESBROUGH - WEST ACKLAM,,,,,,,,
Grid ref,NZ486168,Long,-1.250,Lat,54.544,Elevation,71,ft
Station no,3486/7,,,,,,,
,,,,,,,,
,1947,1948,1949,1950,1951,1952,1953,
January,,5.39,0.62,1.09,1.74,1.63,0.84,
February,,0.87,0.41,2.62,1.92,0.47,1.81,
March,,0.92,1.12,0.71,3.05,1.09,0.14,
April,,0.78,2.02,1.84,1.40,1.62,1.62,
May,,1.27,0.88,1.38,4.38,1.12,1.70,
June,,5.10,0.70,1.74,1.72,1.02,2.27,
July,,0.86,1.41,3.10,2.04,1.12,3.07,
August,0.34,3.73,2.04,4.53,6.27,1.83,3.31,
September,2.23,1.07,0.97,2.39,1.11,4.71,1.43,
October,0.29,1.07,2.16,1.07,1.31,2.61,1.61,
November,1.75,1.21,3.08,5.50,3.76,3.47,1.33,
December,1.53,1.14,2.06,2.75,3.16,1.80,0.86,
Total,,23.41,17.47,28.72,31.86,22.49,19.99,
,,,,,,,,
TYRain_1941-1950_22_pt1/253,,,,,,,,
TYRain_1951-1960_22_pt1/076,,,,,,,,
