"DALRY (BIRKHEADSTEEL)",,,,,,,,,,,,
Grid ref,NS245503,Long,-4.795264,Lat,55.714263,,,,,,,
Station no,5247,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.72,7.57,3.89,6.68,4.18,5.01,6.20,6.43,2.15,4.17,,
February,3.31,2.69,3.25,6.52,3.37,2.10,3.23,4.79,2.46,4.47,,
March,4.47,4.39,1.62,4.17,2.12,3.58,6.85,1.60,3.43,2.32,,
April,2.95,2.67,2.92,2.75,5.53,1.74,3.15,2.22,3.49,5.44,,
May,2.71,2.21,2.96,3.40,5.09,3.17,3.11,3.94,2.10,3.14,,
June,2.75,3.99,1.76,5.13,4.80,3.82,2.95,3.11,4.10,3.81,,
July,4.24,4.74,5.95,5.08,1.64,8.07,6.54,5.85,6.90,5.69,,
August,5.62,5.87,4.63,8.28,1.73,6.98,5.25,5.99,1.29,5.41,,
September,4.81,5.16,7.33,7.59,6.33,6.30,4.13,5.04,2.14,4.25,,
October,1.93,6.78,4.68,12.23,3.74,3.86,7.09,4.99,7.51,3.05,,
November,7.02,3.74,9.31,8.29,3.50,2.84,2.88,3.15,5.75,7.12,,
December,9.01,7.15,6.12,8.25,9.24,6.92,5.92,7.04,9.06,6.66,,
Total,54.54,56.96,54.42,78.37,51.27,54.39,57.30,54.15,50.38,55.53,,
Calc annual,54.54,56.96,54.42,78.37,51.27,54.39,57.30,54.15,50.38,55.53,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
