"BRESSAY SHETLAND, BRESSAY MANSE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,HU494411,Long,-1.111172,Lat,60.151838,Elevation,10,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,0.6,7.8,7,3.8,4.4,1.4,3.4,7,4.9,8.6,4.7,2.8,4.95,6.2,2.7,4.8,6.2,4.8,3,6.1,2.5,3.4,5.8,4.5,5.2,5.8,,,,
February,0.4,3.4,4.6,1,3.3,1.3,1.5,3.4,0.02,4.7,2.3,3.2,1.85,3.2,4,4.2,3.9,3.8,7.5,4.6,2.5,7.4,3.3,1.9,2.5,3.5,,,,
March,1.6,5.9,0.5,1.4,2.3,1.8,0,4,2.9,6.2,4.7,8.1,1.75,2.6,3.2,2.6,2.8,1.8,4.5,2.8,1,2.2,1.7,3.7,3.2,1.2,,,,
April,0.9,2.2,0.5,4,3.4,2.7,0.9,3,1.9,4,1.15,0.6,2.85,4.1,1.7,2,1.1,4.8,3.5,1.8,2.1,2.6,4.3,1.5,3.4,1.4,,,,
May,1.4,1.6,2.5,0.8,2,1.6,1.1,0.9,1.55,1,2.55,2,3.1,3.2,2.8,1.6,1.7,3.2,2.1,2.1,1.1,1,4.5,4,1.5,2.6,,,,
June,1.8,4.2,2,1,2,2.4,1.4,1.4,2.9,1.3,1.5,0.35,1.75,1.6,2,0.5,0.9,0.9,2.1,1.2,1.3,1.8,3.3,1.3,2.3,1.8,,,,
July,1,2.6,1.9,0.8,1.2,6,3.9,3.4,2,3.3,0.9,3.1,4.1,0.3,3.4,2.4,1.2,0.8,1,2.9,0.3,2.3,2.8,3.8,1,3.2,,,,
August,4.1,2.3,3.5,3,4.4,4.4,4.4,1.4,0.9,3.7,3.5,5.5,1.3,3.3,3.5,2.2,1.4,1.8,5.8,1.8,1.2,3.1,3.5,6,3.7,3.05,,,,
September,2.2,0.9,1.7,3.4,3.8,1.5,0.3,1.9,2,4.6,3.7,4.7,4,4.2,3.2,1.9,3.05,2.9,1,3.9,1.3,4.1,3.8,2.4,4.2,3.3,,,,
October,7,7.7,4.9,4.4,3.4,4,2.4,2,7.2,5.4,5.6,2.5,10.5,4.2,4.5,2.2,4.3,6.05,5.5,2.4,2.3,3.2,5.6,4.7,5.4,5.4,,,,
November,6,3.4,6.7,4.5,3.4,2,2.1,4.4,2.1,4.8,3.4,4.5,2.6,3,6.5,4.1,4.9,1.6,2.3,5.9,3.5,2.9,4.6,3.2,2.3,4.5,,,,
December,3,3,0.5,1.3,6.9,4.2,6.5,4.5,2.9,3.6,2.8,3.8,7.2,7.5,5.5,3.6,5.3,5.6,7.1,5,4.2,4.1,3.7,5.1,3.2,3.9,,,,
Total,30,45,36.3,29.4,40.5,33.3,27.9,37.3,31.27,51.2,36.8,41.15,45.95,43.4,43,32.1,36.75,38.05,45.4,40.5,23.3,38.1,46.9,42.1,37.9,39.65,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNo 93-763941  HU494411  3m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
