SHEEPSTOR BURRATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX553680,Long,-4.041412,Lat,50.493886,Elevation,755,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,5.92,2.81,4.86,1.74,9.16,8.81,3.88,3.14,5.19,10.17,3.34,11.36,2.97,3.68,2.9,7.75,2.83,7.13,12.4,3.23,6.52,5.65,3.38,6.53,10.47,13.68,9.15,8.8,5.29,8.88,8.1,9.84,8.77,12.31,4.22,11.59,5.71,9.05,4.86,6.34,1.82,8.75,9.24,8.78,8.96,3.27,3.72,7.43,12.12,6.23,4.25,7.12,6.16,13.03,2.86,2.4,7.66,6.9,2,2.91,7.61,6.67,7.04,7.21,9.56,6.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,0.14,1.33,5.8,2.4,6.16,9.59,1.95,2.38,3.74,9.85,2.35,6.38,3.69,3.97,0.9,8.79,4.8,8.43,2.9,11.5,14.35,9.86,2.15,6.06,7.01,2.12,0.45,7.28,14.78,3.09,8.06,5.82,5.29,5.55,2.79,2.57,6.31,0.06,5.74,0.35,6.52,5.15,10.46,2.51,4.11,7,7.18,0.85,3.24,2.09,5.38,5.47,2.12,3.22,2.89,8.59,6.83,1.37,2.96,6.76,3.88,0.29,9.14,5.93,0.37,7.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,5.34,6.68,7.25,2.03,1.27,2.92,3.01,4.02,6.03,2.92,9.5,2.55,2.27,6.06,8.55,1.63,4.83,10.44,8.07,11.76,1.97,3.66,4.68,3.74,8.67,6.94,5.08,6.03,3.87,2.98,1.16,1.37,6.91,8.27,0.92,3.97,1.79,3.83,6.7,5.13,1.36,5.23,5.68,0.93,2.53,4.75,5.29,5.71,1.75,0.21,2.84,3.27,11.28,3.24,2.25,5.15,7.15,7.33,1.39,6.58,2.24,2.56,7.48,2.14,8.51,4.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,5.12,0.83,5.08,3.3,5.35,2.73,4.78,2.67,2.08,3.25,4.83,1.7,9.71,3.68,4.4,4.9,4.26,0.47,8.16,3.16,2.56,2.96,2.52,2.16,4.03,7.23,1.49,5.69,5.07,6.46,4.63,3.43,3.19,2.33,0.89,5.18,4.08,4.66,4.68,4.41,6,2.84,4.02,0.12,3.76,3.66,1.3,3.8,1.9,3.5,1.63,2.5,5.52,3.72,3.57,4.02,3.52,6.4,4.28,0.71,2.87,1.63,0.54,1.48,5.69,4.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,0.95,0.13,2.62,4.18,3.9,2.81,2.43,1.8,2.78,5.31,1.13,6.12,5.03,3.45,1.85,3.66,1.8,2.47,5.59,3.44,3.85,2.22,2.52,2.13,2.7,3.58,3.92,2.67,4.28,6.68,6.48,2.98,0.94,1.73,4.98,3.66,3.56,6.55,2.21,2.41,2.91,0.58,3.51,4.9,1.16,2.28,3.55,8.48,5.31,1.02,4.83,5.22,3.67,3.27,4.15,2.56,3.91,3.34,6.01,4.71,6.29,1.64,3.18,5.7,2.27,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,2.08,2.65,3.02,2.97,2.08,6.15,2.61,2.54,0.52,2.09,3.21,1.94,5.56,1.17,2.9,2.68,3.99,8.63,2.26,1.95,2.54,4.36,3.44,2.93,1.46,3.09,0.19,2.31,1.03,4.11,0.03,4.35,4.9,4.34,2.83,2.35,5.43,4.62,2.85,2.13,6.26,2.19,2,2.68,4.44,1.01,3.07,0.6,2.69,5.09,6.59,5.37,4.03,3.18,1.28,2.13,2.14,3.14,5.14,5.82,4.14,4.08,2.1,5.4,2.37,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,5.59,3.79,1.59,0.82,1.97,2.39,1.75,2.51,3.55,7.17,1.32,2.22,2.95,4.5,6.01,5.15,1.33,4.11,0.65,7.68,6.61,2.36,3.67,5.7,2.71,8.91,2.96,7.97,1.96,7.83,4.88,2.53,6.94,2.82,2.97,4.42,6.11,4.59,4.08,1.89,1.14,9.65,4.07,5.19,10.36,4.8,1.95,4.01,4.01,5.92,3.96,3.05,4.18,3.22,3.95,6.96,2.72,2.29,5.82,5.9,2.38,6.54,7.25,7.01,2.25,7.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,5.67,3.13,7.48,4.63,1.91,4.5,5.17,3.98,4.35,4.11,7.16,5.24,3.56,5.61,3.33,8.89,4.54,14.55,1.73,5.38,2.93,5.47,8.71,3.93,5.17,2.96,4.91,6.65,5.35,8.15,5.88,3.65,5.41,3.05,5.74,6.86,4.6,1.9,3.36,5.66,2.35,1.3,1.11,6.16,5.06,0.27,7,6.67,5.03,3.81,3.25,6.76,1.11,6.23,2.98,9.11,9.92,7,3.66,5.42,0.36,5.5,5.44,8.07,2.22,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,0.65,8.24,4.96,3.38,2.41,2.84,4.71,2.01,3.53,4.38,3,1.91,1.86,3.31,1.95,0.48,3.4,2.16,4.68,4.31,1.73,3.24,4.08,11.23,4.26,3.8,1.57,5.9,5.72,7.29,7.4,1.69,9.2,1.31,1.07,7.88,3.06,7.6,1.97,5.56,7.18,4.33,4.36,2.87,0.53,3.03,0.63,5.58,6.16,4.24,3.67,10.2,3.62,4.58,4.08,10.24,8.89,4.77,5.09,7.88,3,9.56,6.61,9.02,0.28,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,4.55,5.57,2.14,8.64,5.52,4.34,3.83,3.54,9.47,3.06,3.16,10.12,10.11,2.75,13.26,7.89,6.51,8.2,5.75,4.38,6.73,11.84,10.42,5.19,3.37,6.82,2.18,2.94,10.61,9.45,8.47,3.98,5.58,10.94,9.76,7.77,1.63,11.65,4.85,5.29,9.26,2.58,4.28,8.57,5.49,6.19,2.08,5.48,6.55,8.68,6.5,4.09,2.62,6.99,12.11,3.01,1.64,7.8,5.89,7.12,4.1,3.49,4.9,6.84,7.24,10.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
