ARMADALE (STONERIGG FILTERS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS933676,Long,-3.707578,Lat,55.889674,Elevation,620,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5152/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,1.31,1.31,4.1,3.33,4.28,2.72,3.85,3.17,6.54,3.2,2.31,4.11,2.84,1.33,2.31,2.17,1.63,5.42,2.89,1.22,3.21
February,,,,,,,,,,1.12,2.88,1.92,3.12,1.5,5.91,2.9,0.99,3.96,3.83,3.15,2.18,0.9,1.46,1.84,1.56,1.37,2.8,1.94,1.45,2.85
March,,,,,,,,,,3.12,2.73,1.25,2.4,0.67,2.53,2.67,2.92,2.73,1.12,3.22,3.22,1.64,0.8,1.63,1.17,2.18,2.79,1.42,1.53,1.82
April,,,,,,,,,,3,1.17,1.9,1.62,2.61,1.7,1.12,4.57,2.58,2.96,2.85,2.9,1.68,2.39,1.21,0.46,0.55,2.09,1.37,2.51,2.51
May,,,,,,,,,,2.11,3.94,2.53,3.81,2.7,4.53,1.8,3,1.76,1.42,1.98,2.35,1.2,2.18,3.4,2.13,1.99,1.86,3.69,1.01,1.78
June,,,,,,,,,,0.51,0.49,1.2,3.2,3.15,3.28,3.13,3.2,5.43,0.95,2.35,3.01,2.78,1.85,1.95,1.23,3.47,2.03,3.22,2.48,1.07
July,,,,,,,,,,4.61,2.44,3.22,2.65,2.29,2.81,3.59,2.43,2.6,1.92,5.44,5.17,2.53,5.18,2.03,0.93,4.61,3.82,6.78,4.55,2.6
August,,,,,,,,,,1.07,4.41,2.95,4.33,4.76,3.07,3.18,0,6.89,3.64,3.98,4.28,4.73,2.47,5.27,0.94,6.1,4.22,4.54,0.69,2.78
September,,,,,,,,,,3.02,0.71,4.02,2.24,4.8,5.69,6.08,2.95,4.43,1.8,8.12,2,2.5,2.79,2.84,1.37,3.93,1.72,3.28,0.93,2.41
October,,,,,,,,,,3.4,3.08,4.53,5.19,4.34,4.68,0.59,1.44,3.63,5.1,2.94,0.71,2.64,1.84,6.03,1.54,2.53,3.77,2.39,3.68,2.73
November,,,,,,,,,,4.39,1.89,0.77,1.38,7.03,0.51,4.16,5.23,3.23,3.67,3.67,5.02,2.3,4.54,3.8,1.22,1.15,1.99,1.47,6.24,3.92
December,,,,,,,,,,2.33,1.29,2.77,1.83,3.86,2.91,3.17,2.8,3.99,6.87,2.07,5.4,3,3.52,2.73,4.87,4.85,4.05,4.87,4.51,4.63
Total,,,,,,,,,,29.99,26.34,31.16,35.1,41.99,40.34,36.24,32.7,47.77,36.48,42.08,40.35,28.74,30.35,35.04,19.59,34.36,36.56,37.86,30.8,32.31
