SHREWSBURY-WENLOCK-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ508114,Long,-2.7294721,Lat,52.698029,Elevation,229,ft.,,,,,,,,,,,,
Station no,2286/6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,2.41,3,5.07,3.23,3.57,3.22,4.59,2.57,1.88,,,,,
February,,,,,,,3.23,0.42,1.11,2.78,2.63,0.75,1.17,1.73,1.75,,,,,
March,,,,,,,1.76,0.3,1.56,2.17,2.35,1.76,1.09,0.64,1.09,,,,,
April,,,,,,,1.84,0.09,1.72,3.13,1,1.14,1.36,1.31,1.09,,,,,
May,,,,,,,1.56,1.6,0.84,3.39,2.01,4.12,2.95,0.93,4.28,,,,,
June,,,,,,,0.98,1.91,1.11,2.04,2.98,0.74,1.76,1.8,1.49,,,,,
July,,,,,,,1.92,1.85,4.58,2.71,1.92,1.81,2.19,1.32,1.45,,,,,
August,,,,,,,1.39,4.2,1.77,0.17,3.06,2.92,1.71,2.77,3.54,,,,,
September,,,,,,,1.7,1.39,0.57,1.54,0.86,1.16,3.39,3.18,1.55,,,,,
October,,,,,,,3.04,3.26,3.03,3.05,2.06,1.58,2.73,2.61,4.25,,,,,
November,,,,,,,1.64,3.58,3.88,7.29,2.41,1.04,2.28,3.15,0.66,,,,,
December,,,,,,,2.57,2.65,2.06,1.43,1.32,2.62,1.27,1.65,2.48,,,,,
Total,,,,,,,24.04,24.25,27.3,32.93,26.17,22.86,26.49,23.66,25.51,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is on Wemlock Road 500 yards from St Giles church as noted on the record.,,,,,,,,,,,,,,,,,,,,
The altitude matches. ,,,,,,,,,,,,,,,,,,,,
Cannot locate the observer L W Sharpe. Probably +/- 200 yards.,,,,,,,,,,,,,,,,,,,,
