"BAMBURGH",,,,,,,,,,,,
Grid ref,NU180350,Long,-1.715842,Lat,55.608277,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.43,1.94,1.23,2.04,1.79,1.00,1.08,0.27,1.34,1.72,,
February,5.99,1.91,1.15,1.40,2.55,0.90,0.88,0.90,1.46,3.05,,
March,2.14,1.85,0.97,1.29,1.77,1.68,1.41,0.80,2.48,5.50,,
April,1.50,1.19,1.86,1.50,0.78,2.50,0.68,2.20,1.65,3.10,,
May,0.94,2.19,2.49,0.80,2.36,0.47,7.79,3.76,1.79,2.05,,
June,3.64,1.34,2.63,2.35,2.12,0.35,1.30,3.26,1.15,2.20,,
July,1.21,2.07,2.20,5.27,1.15,0.68,2.80,1.72,1.10,2.50,,
August,5.94,2.27,1.70,3.37,2.27,2.77,3.67,3.65,1.76,1.40,,
September,0.78,1.51,1.10,2.53,0.41,1.34,0.81,0.84,3.00,1.35,,
October,5.10,1.61,1.26,6.64,0.93,3.42,5.08,4.15,1.61,3.25,,
November,4.00,3.90,1.63,2.10,2.62,5.16,1.76,1.47,1.42,0.62,,
December,2.04,5.21,2.94,2.32,1.34,1.20,3.09,3.26,0.94,3.22,,
Total,35.71,26.99,21.16,31.61,20.09,21.47,30.35,26.28,19.70,29.96,,
Calc annual,35.71,26.99,21.16,31.61,20.09,21.47,30.35,26.28,19.70,29.96,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
