BAMBURGH (School),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NU180350,Long,-1.7157,Lat,55.6084,Elevation,75,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,2.06,2.42,1.17,1.97,1.98,1.03,1.14,1.7,0.86,1.41,1.24,1.33,3.28,1.32,1.86,0.49,2.22,2.43,1.94,1.23,2.04,1.79,1,1.08,0.27,1.34,1.72,1.75,1.13,2.24,2.97,1.51,2.87,1.22,,1.98,,1.15,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,3.1,0.94,1.35,0.85,0.49,0.98,0.91,1.22,0.12,1.68,2.54,3.36,1.74,0.55,0.88,0.86,1.34,5.99,1.91,1.15,1.4,2.55,0.9,0.88,0.9,1.46,3.05,-999,0.83,2.03,0.68,1.08,3.57,2.13,,0.75,,0.54,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,2.45,2.58,1.57,3.41,1.48,2.96,3.2,2.16,2.73,1.05,0.51,0.39,2.42,1.84,3.04,1.21,1.83,2.14,1.85,0.97,1.29,1.77,1.68,1.41,0.8,2.48,5.5,-999,1.41,0.73,2.85,2.44,1.13,2.67,,0.5,,3.38,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,1.29,1.51,2.25,1.1,0.9,1.33,2.2,0.52,1.08,0.92,0.76,1,0.93,0.57,1.14,3.01,2.1,1.5,1.19,1.86,1.5,0.78,2.5,0.68,2.2,1.65,3.1,-999,0.38,0.35,2.06,0.23,0.63,1.1,,-999,,1.03,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,1.75,1.27,2.73,2.68,1.62,0.69,2.2,1.51,1.17,2.57,1.68,2.06,0.55,0.89,1.72,1.95,3.16,0.94,2.19,2.49,0.8,2.36,0.47,7.79,3.76,1.79,2.05,1.48,0.47,1.99,2.88,0.76,0.78,2.81,,-999,,1.96,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,2.04,1.01,0.79,1.68,0.29,2.42,0.49,2.7,0.66,3.56,1.11,2.09,1.51,1.26,2.5,1.34,1.57,3.64,1.34,2.63,2.35,2.12,0.35,1.3,3.26,1.15,2.2,0.4,4.58,3.26,1.47,2.48,0.95,2.52,,0.87,,0.27,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,4.77,3.92,1.65,4.21,2.02,5.16,3.31,1.81,1.66,1.82,2.23,1.33,4.43,2.6,2.05,0.82,4.01,1.21,2.07,2.2,5.27,1.15,0.68,2.8,1.72,1.1,2.5,2.14,5.62,4.31,0.34,2.02,2.75,3.72,,2.89,,1.71,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,1.75,1.19,1.79,1.37,2.06,1.56,3.73,4.83,3.92,3.5,1.62,3.14,4.15,2.1,2.27,1.75,0.83,5.94,2.27,1.7,3.37,2.27,2.77,3.67,3.65,1.76,1.4,-999,-999,2.72,0.69,2.32,1.18,3.99,,0.73,,3,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,3.91,2.11,3.01,2.49,4.33,1.2,2.04,2.25,2.2,1.7,2.12,1.28,0.3,3.58,2.2,0.63,2.73,0.78,1.51,1.1,2.53,0.41,1.34,0.81,0.84,3,1.35,-999,-999,3.12,1.36,1.12,0.61,1.57,,0.54,,1.36,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,1.97,1.78,3.67,3.9,1.41,0.86,3.79,2.71,2.7,5.99,2.01,4.28,4.69,6.18,1.32,2.8,1.33,5.1,1.61,1.26,6.64,0.93,3.42,5.08,4.15,1.61,3.25,2.68,-999,3.29,1.12,2.6,1.41,2.67,,3.27,,2.22,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
