ISLE OF SKYE BROADFORD,,,,,,,,,,,,,,,,,,,,
Grid ref,NG 65138 23114,Long,-5.893843,Lat,57.23827,Elevation,45,ft,,,,,,,,,,,,
Station no,5756/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,13.95,8.41,8.18,1.62,8.24,1.27,5.84,7.88,21.71,,11.39,19.01,,
February,,,,,,,6.59,12.35,7.32,2.78,10.29,2.9,6.74,10.03,17.64,,9.86,16.94,,
March,,,,,,,11.22,5.25,7.2,4.45,3.51,4.79,14,4.61,8.07,,9.21,6.68,,
April,,,,,,,4.28,1.93,1.87,0.86,4.53,0.59,3.03,3.16,2.15,,4.16,4.19,,
May,,,,,,,1.89,3.78,3.35,2.36,1.97,2.5,2.06,2.83,,,5.75,3.67,,
June,,,,,,,6.54,9.99,3.72,2.6,2.54,6.02,5.1,2.11,,,4.89,,,
July,,,,,,,4.69,7.22,1.04,6.33,2.4,6.04,6.63,4.12,,,6.16,,,
August,,,,,,,3.85,4.19,2.74,5.85,2.02,3.18,4.13,11.22,,,9.23,,,
September,,,,,,,5,4.46,7.9,10.22,4.34,2.13,5.98,5.16,,,11.85,,,
October,,,,,,,7.77,13.51,7.42,4.94,3.1,3.17,6.31,12,,,7.22,,,
November,,,,,,,2.5,12.82,4.94,6.83,7.88,11.44,8.22,16,,,18.06,,,
December,,,,,,,3.8,15.68,4,8.03,7.08,7.13,8.22,15.69,,,12.55,,,
Total,,,,,,,72.08,99.59,59.68,56.87,57.9,51.16,76.26,94.81,,,110.33,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5756/5,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
