"SKYE (BROADFORD)",,,,,,,,,,,,
Grid ref,NG644233,Long,-5.906219,Lat,57.239558,,,,,,,
Station no,5756/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,11.65,6.87,6.16,,
February,,,,,,,,4.82,5.64,5.63,,
March,,,,,,,,3.69,6.15,2.24,,
April,,,,,,,,3.96,5.11,5.25,,
May,,,,,,,,7.50,0.89,2.62,,
June,,,,,,,,2.67,7.32,6.01,,
July,,,,,,,,2.20,11.73,3.08,,
August,,,,,,,6.83,4.58,7.35,3.89,,
September,,,,,,,5.09,5.69,4.64,8.04,,
October,,,,,,,12.85,9.47,9.28,2.09,,
November,,,,,,,5.30,4.71,11.65,9.43,,
December,,,,,,,15.39,6.53,12.05,14.11,,
Total,,,,,,,,67.47,88.68,68.55,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,45.46,67.47,88.68,68.55,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,,
