SKYE (BROADFORD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NG643243,Long,-5.908822,Lat,57.248468,Elevation,23,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5756/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,12.45,6.6,0.9,2.64,8.17,8.35,13.98,6.13,9.78,6.29,7.94,13.75,6.39,9.72,7.54,7.56,7.61,4.3,6.11,,,,
February,,,,,,,,6.93,13.14,5.29,5.27,3.74,10.27,4.8,10.41,5.99,0.08,6.65,10.35,6.99,4.46,4.4,6.3,4.8,3.77,4.43,,,,
March,,,,,,,,14.75,5.56,4.26,2.39,2.56,6.94,4.81,7.19,5.46,2.29,8.42,4.53,6.52,4.34,6.68,3.58,6.65,1.87,3.58,,,,
April,,,,,,,,2.6,4.24,2.57,3.5,1.48,8.09,3.64,3.47,4.25,9.25,5.07,10.46,5.94,6.04,4.61,5.97,2.43,5.6,2.99,,,,
May,,,,,,,,5.04,2.24,2.74,1.22,2.87,3.2,7.39,3.76,1.54,2.17,1.83,4.11,2.15,0.71,3.63,4.18,3.5,2.78,7.45,,,,
June,,,,,,,,7.41,2.95,2.13,2.97,5.6,6.19,5.33,7.65,8.02,4.3,4.64,2.19,7.96,3.12,6.71,1.65,4.16,5.02,2.9,,,,
July,,,,,,,,5.67,7.94,6.76,5.9,5.5,5.87,2.25,5.06,9.61,5.95,6.68,3.03,6.06,7.41,3.01,6.71,4.18,0.97,7.77,,,,
August,,,,,,,,4.49,4.04,6.49,10,10.97,6.5,5.96,5.31,5.62,0.2,7.35,6.8,6.91,6.2,6.06,8,5.68,1.7,6.11,,,,
September,,,,,,,,5.67,3.77,6.53,5.01,10.23,7.7,5.25,7.66,9.07,8.39,11.62,7.75,13.69,7.83,7.08,8.45,10.77,10.11,5.69,,,,
October,,,,,,,,14.73,1.74,7.88,8.11,11.6,13.97,12.48,5.15,1.12,4.38,11.48,12.37,11.28,5.39,7.93,11.84,13.97,11.55,7.59,,,,
November,,,,,,,,17.79,11.99,14.21,4.86,3.52,8.6,7.51,1.77,7.67,11.38,10.51,8.41,8.2,8.2,5.6,15.91,10.55,2.52,7.27,,,,
December,,,,,,,,8.75,3.54,8.74,7.65,12.72,7.36,8.4,6.57,7.29,3.5,8.79,16.9,5.6,13.03,7.83,6.88,12.46,12.13,11.95,,,,
Total,,,,,,,,106.28,67.75,68.5,59.52,78.96,93.04,81.8,70.13,75.42,58.18,90.98,100.65,87.69,76.45,71.08,87.03,86.76,62.32,73.84,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5756/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,14188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,721507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
