WATTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF920005,Long,0.8325,Lat,52.5691,Elevation,187,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,,2.44,1.89,3.22,2.91,1.82,3.17,1.69,2.62,2.75,3.19,2.74,2.57,4.55,2.05,2.36,1.3,2.83,2.39,4.5,2.13,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,2.38,2,2.11,0.81,1.55,3.26,4.9,0.74,1.21,3.37,0.8,0.42,3.06,3.59,1.95,2.47,2.33,2.27,1.52,0.6,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,0.84,2.94,3.19,2.16,3.99,1.42,3.99,2.31,0.77,2.06,2.06,1.23,2.52,1.42,0.82,2.28,0.45,2.22,1.54,0.13,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,2.36,1.3,0.45,2.43,0.74,0.86,2.05,1.87,2.16,2.46,3.92,1.72,2.23,1.05,2.61,2.67,2.82,1.96,1.29,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,,3.23,1.04,2.7,1.98,1.14,1.89,2.06,0.57,1.84,0.55,1.93,1.57,0.85,1.49,2.86,3.07,1.95,0.86,1.63,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,,1.96,4.72,2.66,0.91,1.93,0.83,2.62,1.14,1.25,2.11,1.93,0.72,1.3,0.82,2.18,0.79,3.61,5.64,3.15,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,,3.97,0.14,3.01,1.1,1.27,3.72,1.11,1.19,3.94,3.12,3.94,1.64,4.88,3.1,1.9,1.76,1.86,2.4,1.86,3.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,,2.89,0.57,8.4,1.44,1.2,1.92,2.53,5.34,2.02,2.45,2.34,2.99,2.27,2.87,3.16,2.3,2.15,2.81,2.17,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,1.61,1.33,2.6,3.01,1.37,1.35,1.36,1.47,2.62,6.43,0.89,2.86,1.41,3.34,1.87,3.57,3.6,1.14,3.31,0.71,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,4.36,1.55,2.36,2.85,3.76,2.49,1.4,2.83,4.23,2.31,2.37,0.32,2.58,0.8,3.55,4.39,2.63,2.58,2.37,2.9,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
