"WATTON",,,,,,,,,,,,
Grid ref,TF919007,Long,0.830220,Lat,52.570262,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.33,0.75,1.22,2.05,1.97,1.21,3.74,1.45,1.01,0.81,,
February,2.68,1.18,1.03,0.52,3.29,1.26,2.84,1.69,2.23,0.46,,
March,1.08,1.78,1.89,2.54,1.71,2.23,2.16,1.27,2.30,2.77,,
April,1.29,2.62,1.20,2.16,1.09,1.96,0.77,3.18,2.98,1.14,,
May,1.42,1.15,3.33,1.96,1.87,1.24,0.88,2.07,1.55,1.28,,
June,2.85,1.34,2.95,3.00,1.04,3.56,3.33,2.15,0.93,4.26,,
July,3.34,1.23,2.04,4.31,3.36,0.73,0.52,1.88,4.24,3.30,,
August,3.00,0.91,2.79,3.10,1.52,2.79,0.82,1.72,2.74,2.62,,
September,0.67,1.18,0.80,3.87,2.70,3.30,1.14,0.67,1.90,1.61,,
October,2.34,2.53,1.44,5.83,1.16,3.02,4.54,3.28,1.54,4.36,,
November,2.49,2.49,1.44,2.25,1.78,1.96,3.89,2.82,1.26,0.92,,
December,2.79,3.81,1.75,1.41,2.31,1.06,2.50,2.67,1.45,4.65,,
Total,27.28,20.97,21.88,33.00,23.80,24.32,27.13,24.85,24.13,28.18,,
Calc annual,27.28,20.97,21.88,33.00,23.80,24.32,27.13,24.85,24.13,28.18,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
