WATTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF913008,Long,0.8218,Lat,52.5719,Elevation,166,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,0.11,0.96,1.58,1.96,1.49,2.62,2.35,1.83,1.13,0.77,2.32,1.92,0.9,1.98,2.08,3.23,1.34,1.85,1.14,2.02,3.33,0.75,1.22,2.05,1.97,1.21,3.74,1.45,1.01,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,2.38,3.68,1.52,2.94,0.56,1.8,0.32,0.52,1.92,1.68,0.58,0.02,2.55,2.31,1.35,0.08,0.92,2.46,1.05,0.94,2.68,1.18,1.03,0.52,3.29,1.26,2.84,1.69,2.23,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,0.83,1.87,1.53,1.94,1.15,1.19,1.59,1.82,2.58,0.96,2.64,1.69,0.95,0.39,0.86,2.41,3.41,2.12,1.97,1.38,1.08,1.78,1.89,2.54,1.71,2.23,2.16,1.27,2.3,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,1.91,1.08,3.02,1,1.02,1.19,1.19,0.95,1.72,1.95,0.82,1.12,1.16,0.12,2.31,1.26,0.95,2.31,1.03,2.31,1.29,2.62,1.2,2.16,1.09,1.96,0.77,3.18,2.98,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,0.6,0.77,1.85,1.06,0.63,2.96,2.17,1.9,0.89,2.83,1.91,2.95,1.67,1.05,2.22,1.33,0.7,0.98,3.55,1.54,1.42,1.15,3.33,1.96,1.87,1.24,0.88,2.07,1.55,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,4.76,1.56,3.05,2.64,0.89,0.85,0.74,0.22,2.24,1.36,3.58,0.58,2.92,1.49,2.72,1.18,2.63,1.86,2.64,0.63,2.85,1.34,2.95,3,1.04,3.56,3.33,2.15,0.93,4.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,5.66,2.57,2.19,3.53,1.32,0.67,5.35,0.88,3.85,3.4,3.27,3.8,3.58,4.53,2.55,3.86,2.03,0.99,1.24,1.37,3.34,1.23,2.04,4.31,3.36,0.73,0.52,1.88,4.24,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,1.85,4.53,2.12,1.3,2.65,1.6,1.87,3.27,2.9,2.75,2.09,5.44,2.16,1.92,2.57,4.05,1.53,2.38,2.36,1.06,3,0.91,2.79,3.1,1.52,2.79,0.82,1.72,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,3.86,2.36,3.32,4.46,2.28,3.98,1.85,2.01,1.92,2.9,0.67,1.03,2.06,1.07,1.62,0.5,5.06,3.02,0.2,4.2,0.67,1.18,0.8,3.87,2.7,3.3,1.14,0.67,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,4.6,2.63,5.39,2.99,2.17,4.97,3.15,3.02,1.07,3.34,1.59,3.48,6.95,1.98,2.81,2.24,3.39,0.85,1.99,2.37,2.34,2.53,1.44,5.83,1.16,3.02,4.54,3.28,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,2.12,2.19,3.32,3.97,2.28,2.93,2.28,2.28,2.55,1.6,3.19,1.76,1.61,3.03,3.09,3.12,1.17,1.57,2.22,2.41,2.49,2.49,1.44,2.25,1.78,1.96,3.89,2.82,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,3.26,2.51,3.78,2.44,2.47,1.2,3.29,1.51,0.46,1.66,0.63,3.28,1.33,1.15,2.73,1.99,3.58,1.48,2.23,1.39,2.79,3.81,1.75,1.41,2.31,1.06,2.5,2.67,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,31.94,26.71,32.67,30.23,18.91,25.96,26.15,20.21,23.23,25.2,23.29,27.07,27.84,21.02,26.91,25.25,26.71,21.87,21.62,21.62,27.28,20.97,21.88,33,23.8,24.32,27.13,24.85,24.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
