MARDALE GROVE BRAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY478115,Long,-2.8074534,Lat,54.496127,Elevation,800,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,3665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,10.64,12.75,18.68,8.65,7.69,8.45,9.39,14.31,9.18,23.18,2.71,16.32,6.78,15.67,10.41,13.67,3.33,,,,,
February,,,,,,,,,,1.95,9.94,0.25,10.4,14.08,1.26,12.12,10.2,5.85,10.24,2.11,0.82,6.29,0.11,6.5,0.66,14.3,,,,,
March,,,,,,,,,,8.32,10.44,16.55,6.83,4.91,2.52,4.07,4.38,9.71,10.55,1.36,5.63,1.74,7.42,7.1,6.58,3.42,,,,,
April,,,,,,,,,,4.17,10.53,1.87,4.85,6.74,4.48,9.11,5.53,5.09,2.88,3.11,2.98,4.63,9.37,3.56,6.63,7.04,,,,,
May,,,,,,,,,,1.94,11.53,5.72,4.91,5.6,9.86,10.23,4.77,3.92,1.67,6.87,2.97,6,5.95,3.83,8.32,0.87,,,,,
June,,,,,,,,,,3.09,2.64,0.3,4.04,1.95,5.45,0.15,7.27,6.06,12.36,3.14,5.04,8.38,4.31,3.62,3.93,7.85,,,,,
July,,,,,,,,,,2.05,10.3,5.06,10.29,4.58,9.39,2.19,6.9,6.75,6.29,9.22,5.68,7.81,8.45,6.24,1.96,2.89,,,,,
August,,,,,,,,,,5.62,5.31,11.76,6.65,15.68,7.34,7.54,7.84,10.18,11.96,8.49,12.03,6.68,1.52,3.81,7.36,4.93,,,,,
September,,,,,,,,,,7.42,3.69,2.71,4.65,9,13.39,7.63,6.96,10.73,6.2,3.27,5.97,3.74,7.87,2.96,10.76,15.42,,,,,
October,,,,,,,,,14.06,3.02,3.76,3.45,3.48,18.79,9.4,10.84,7.35,11.71,18.25,11.42,16.08,6.81,13.17,7.25,13.22,13.47,,,,,
November,,,,,,,,,7.17,7.7,8.4,4.16,5.13,10.16,7.16,2.91,16.1,9.23,17.53,15.64,11.31,19.93,7.04,4.24,1.49,10.48,,,,,
December,,,,,,,,,12.73,16,10.2,15.43,17.9,8.34,19.15,8.13,1.73,2.26,7.35,18.51,9.69,6.67,13.55,1.29,16.79,5.39,,,,,
Total,,,,,,,,,,71.92,99.49,85.94,87.78,107.52,97.85,84.31,93.34,90.67,128.46,85.85,94.52,85.46,94.43,60.81,91.37,89.39,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919 April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
