ANDOVERSFORD-HAMPEN,,,,,,,,,,,,,,,,,,,,
Grid ref,SP056198,Long,-1.9200589,Lat,51.876741,Elevation,730,ft,,,,,,,,,,,,
Station no,2208/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,0.75,3.78,4.94,3.1,5.45,2.32,2.37,4.47,5.4,1.85,1.72,2.68,,,,
February,,,,,3.22,2.8,4.81,0.92,1.57,2.43,2.56,0.68,1.4,0.97,2.3,2.23,,,,
March,,,,,0.4,2.29,3.89,0.22,2.09,1.86,2.72,2.47,0.8,0.37,1.03,0.92,,,,
April,,,,,4.87,1.74,3.75,0.16,3.65,1.82,0.92,1.05,0.88,1.49,1.13,1.93,,,,
May,,,,,1.22,0.79,2.37,1.84,0.99,1.55,1.31,3.75,3.48,1.03,2.26,2.79,,,,
June,,,,,3.3,3.35,1.3,0.78,1.8,0.3,1.79,0.15,2.19,2.84,2.84,2.99,,,,
July,,,,,0.95,4.9,3.23,2.36,4.21,3.26,1.79,2.59,0.57,2.18,1.62,1.29,,,,
August,,,,,1.5,0.36,0.41,4.44,1.91,0.29,3.5,4.78,2.2,3.04,1.6,6.09,,,,
September,,,,,4.22,4.77,1.53,2.75,0.79,0.77,0.49,1.82,1.88,3,1.87,3.93,,,,
October,,,,1.55,4.13,1.31,4.06,3.4,3.33,3.36,1.63,2.72,2.28,4.31,3.21,0.48,,,,
November,,,,2.13,7.37,2.72,1.62,3.07,4.39,6.93,2.17,1.95,1.65,4.91,0.43,6.16,,,,
December,,,,6.97,4.05,4.1,2.41,3.63,3.78,1.28,1.56,4.04,1.28,2.66,4.36,2.86,,,,
Total,,,,,35.98,32.91,34.32,26.67,33.96,26.17,22.81,30.47,24.01,28.65,24.37,34.35,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1935 Total corrected,,,,,,,,,,,,,,,,,,,,
Snow estimates kept,,,,,,,,,,,,,,,,,,,,
