CHELTENHAM-BATTLEDOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO965220,Long,-2.0522708,Lat,51.896536,Elevation,393,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,1.77,4.6,3.33,2.89,3.76,2.35,4.52,1.53,2.63,0.84,0.96,2.09,2.77,2.7,2.35,4.03,2.49,0.64,0.68,2.56,2.17,1.34,2.05,1.82,3.35,0.7,1.96,0.59,3.21
February,,1.38,2.73,0.73,2.53,1.74,2.25,1.52,1.75,2.99,4.81,3.57,2.88,4.8,1.86,3.51,0.79,0.74,1.21,1.44,0.6,0.01,1.64,2.87,1.91,0.14,0.36,2.83,1.35,3.07
March,,1.8,2.31,2.96,0.69,1,2.97,1.64,0.97,1.15,1.35,1.62,1.46,1.33,2.64,1.09,1.93,1.29,3.45,3.62,1.01,1.82,0.81,0.14,1.28,2.34,2.21,4.07,0.52,0.64
April,,2.81,2.45,1.51,1.54,3.14,2.99,2.77,3.69,2.68,1.95,0.85,4.12,1.15,1.56,2.37,2.08,1.65,2.09,3.2,0.73,0.89,0.84,0.05,3.19,2.39,0.72,1.2,2.34,2.01
May,,2.48,1.65,2.72,1.37,2.41,1,2.33,5.75,2.94,1,0.92,1.8,1.65,0.81,2.25,3.92,1.8,1.4,4.82,1.87,3.63,0.75,1.37,2.08,0.39,0.24,1.15,4.1,1.57
June,,2.65,3.69,1.25,1.1,2.5,1.55,1.05,2.97,4.45,3.12,2.38,3.72,4.05,3.78,1.85,0.78,1.57,2.28,0.51,2.07,1.44,1.72,1.02,1.92,0.66,1.87,2.49,0.98,1.72
July,,3.87,4.71,2.4,1.32,5.58,0.75,3.3,2.37,2.99,4.64,1.96,3.61,3.71,2.72,0.13,3.23,1,4.8,2.84,3.27,4.06,2.28,2.62,2.12,2.53,1.36,1.5,1.21,0.8
August,,1.9,3.01,3.04,2.14,1.23,2.71,4.33,5.62,6.36,0.56,4.04,3.21,0.94,1.73,1.95,1.2,1.84,1.74,1.75,2.66,4.84,2.83,1.74,2.3,2.08,2.4,3.91,3.03,3.12
September,,4.51,1.35,1.78,3.67,2.85,4.66,3.13,2.51,3.25,4.33,1.72,3.24,3.85,1.04,3.12,2.7,2.35,1.01,2.07,1.12,1.86,2.62,0.98,3,0.73,4.95,2.46,0.72,2.03
October,,1.44,3.95,2.35,3.44,6.82,1.61,1.92,2.6,1.16,4.86,2.07,5.52,2.41,1.1,2.96,4.35,2.64,0.46,2.52,1.23,6.45,1.95,1.68,3.27,2.92,2.74,1.53,3.46,2.19
November,,0.74,4.77,0.96,1.2,5.1,2.95,4.17,3.39,1.09,2.87,3.28,3.69,2.9,1.99,3.63,2.52,3.3,5.26,1.2,1.94,2.47,2.04,1.92,3.99,5.01,0.99,1.48,2.7,2.66
December,,2.66,3.49,0.78,0.77,0.81,5.63,1.7,1.82,0.86,2.89,3.05,2.93,0.61,2.24,0.91,3.71,1.76,2.72,1.49,0.82,3.37,0.77,2.99,2.16,1.71,3.45,3.23,2.36,2.27
Total,,28.01,38.71,23.81,22.66,36.94,31.42,32.38,34.97,32.55,33.22,26.42,38.27,30.17,24.17,26.12,31.24,22.43,27.06,26.14,19.88,33.01,19.59,19.43,29.04,24.25,21.99,27.81,23.36,25.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870 Total estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
