"AUSKERRY",,,,,,,,,,,,
Grid ref,HY672155,Long,-2.573052,Lat,59.025284,,,,,,,
Station no,5825,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.10,3.55,4.65,3.65,3.00,4.70,3.40,0.42,3.20,,,
February,0.17,2.40,0.05,4.50,3.90,5.60,5.80,1.20,2.60,,,
March,1.22,1.00,1.55,2.05,2.10,4.70,2.70,1.30,2.80,,,
April,2.15,2.90,1.00,2.75,4.40,2.70,1.60,1.50,1.40,,,
May,2.45,1.20,0.80,1.30,1.50,1.20,5.30,0.70,1.60,,,
June,0.75,2.50,1.30,0.80,1.10,1.40,1.60,1.60,2.20,,,
July,2.80,2.00,1.75,4.30,1.10,2.80,1.90,1.20,1.40,,,
August,2.05,3.70,2.39,4.05,2.45,2.70,4.40,2.00,1.40,2.25,,
September,3.60,2.50,2.30,2.50,3.05,2.60,3.60,0.40,2.00,1.66,,
October,4.00,6.40,2.34,6.80,4.50,4.90,4.80,3.40,1.50,5.94,,
November,3.54,3.70,1.60,4.80,3.20,2.90,7.70,2.30,3.40,4.68,,
December,4.95,9.70,3.85,3.00,6.00,2.30,4.10,1.90,1.74,3.82,,
Total,33.78,41.55,23.58,40.50,36.30,38.50,46.90,17.92,25.24,,,
Calc annual,33.78,41.55,23.58,40.50,36.30,38.50,46.90,17.92,25.24,18.35,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
