AUSKERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,HY672155,Long,-2.573052,Lat,59.025284,Elevation,10,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,4.7,2.8,1.5,4,2.8,2,4.5,4.4,2.3,3.2,3,2.3,1.6,0.15,0.2,1.22,1.87,0.33,0.46,0.99,0.4,,3.03,1.09,4.21,1.17,5.79,2.53,2,0.5,0.9,2.95,6.1,3.55,4.65,3.65,3,4.7,3.4,0.42,3.2,,4.72,3.8,1.94,2.19,3.74,3.1,4.68,4.12,1.37,1.45,2.94,3.08,1.37,4.47,3.29,2.88,3.04,3.09,3.41,1.45,3.46,4.01,3.23,2.2,2.79,3.53,4.34,9.97,7.11,1.55,0.2
February,,,,,,,,,4.4,3.3,1.8,2.8,2,0.5,1,1.4,1.45,3.6,1.1,0.9,3.3,0.73,0.24,1.09,0.89,0.61,0.25,0.5,0.5,,1.7,1.72,2.46,1.5,5.87,0.25,1.55,1.35,1.5,1.75,0.17,2.4,0.05,4.5,3.9,5.6,5.8,1.2,2.6,,2.55,2.63,3.07,1.96,3.46,3.47,2.12,0.67,2.26,1.43,2.31,0.82,0.81,3.05,2.82,4.12,2.03,2.17,1.24,0.91,1.34,4.73,0.67,3.1,3.58,2.74,2.19,6.73,4.13,1.8,0.23
March,,,,,,,,1.1,3.2,1.9,0.7,1.7,1.3,2.1,2.1,0.7,4.6,1.85,1.6,2.3,1.6,1.24,0.7,0.86,1.13,0.74,0.34,0.36,0.41,,4.37,2.1,0.81,1.45,1.86,1.37,1.7,2.3,1.9,1.53,1.22,1,1.55,2.05,2.1,4.7,2.7,1.3,2.8,,1.92,1.15,3.58,3.08,3.32,1.33,2.4,0.9,1.82,1.89,3.13,2.16,1.1,1.12,1.76,3.02,4.02,2.15,1.67,0.45,1.79,1.14,2.57,1.97,2.22,2.01,1.57,4.6,2.22,0.32,0.85
April,,,,,,,,0.49,2.2,1.2,1.7,1.9,2.2,1.05,1.3,2.45,2.05,1.6,0.3,0.6,1,0.4,0.4,0.94,0.42,0.49,0.41,0.42,0.22,,1.24,0.28,1,0.2,0,2.45,0.8,0.85,1.45,1.56,2.15,2.9,1,2.75,4.4,2.7,1.6,1.5,1.4,,3.97,2.29,2.2,1.7,1.34,2.56,2.28,1.87,1.03,1.88,1.33,0.98,1.41,2.51,2.32,2.34,2.16,4.74,1.52,1.39,1.49,1.3,3.79,1.35,5.39,2.64,1.01,0.38,1.05,0.11,0.63
May,,,,,,,,,1.2,0.7,4,1,1.25,0.9,1.15,1.05,0.7,1.94,1.1,2.1,1,1.25,0.41,1.19,1.47,0.35,0.37,0.19,0.18,,1.9,2.57,2.8,0.12,2.87,0.3,0.9,0.95,1.75,1.75,2.45,1.2,0.8,1.3,1.5,1.2,5.3,0.7,1.6,,1.98,1.86,3.3,1.78,2.46,0.22,2.12,0.97,0.98,0.54,2,1.46,1.04,2.74,1.52,1.98,1.1,1.46,1.49,1.5,2.11,4.08,0.77,0.85,2.23,0.69,1.07,0.32,1.83,0.06,0.31
June,,,,,,,,0.09,1.9,0.6,0.5,1.2,4.4,1.1,1.05,0.55,1,2.9,1.3,0.25,0.9,1.8,1.25,0.29,0.64,0.52,0.41,0.33,1.9,0.1,2.43,1,1.5,0.16,0.81,1.05,2.3,0.55,1.25,2.97,0.75,2.5,1.3,0.8,1.1,1.4,1.6,1.6,2.2,,0.44,1.35,1.33,1.8,0.8,0.5,2.35,1.82,0.96,1.92,0.36,1.17,0.67,1.14,1.4,1.27,1.64,3.01,1.61,2.14,1.69,1.61,0.92,1.02,1.18,0.72,0.84,1.05,1.63,0.11,0.11
July,,,,,,,,0.1,1.5,1.3,0.4,1.3,1.95,2.05,2.65,3,1.9,2.42,1.65,2.1,2.5,1.27,0.4,0.98,0.83,0.29,0.56,0.4,3.2,0.64,6.65,4.61,1.26,1.55,3.07,0.32,2.9,0.7,1.05,2.5,2.8,2,1.75,4.3,1.1,2.8,1.9,1.2,1.4,,0.63,2.11,2.05,0.8,3.42,1.52,1.46,0.17,2.1,0.96,1.41,1.11,1.08,1.85,2.25,1.69,1.23,1.76,2.03,1.17,2.11,2.17,2.43,1.05,3.41,2.5,3.34,0.76,0.81,1.13,4.58
August,,,,,,,,2.4,5.9,1.3,0.7,3.1,3.05,2.4,3.7,2.5,2.9,2.1,1.4,4.2,0.1,2.07,1.07,1.28,0.19,0.07,0.6,0.49,0.41,6.03,2.07,2.35,2.45,3.05,3.48,0.45,1,1.2,2.6,1.2,2.05,3.7,2.39,4.05,2.45,2.7,4.4,2,1.4,2.25,3.26,1.5,5.08,0.8,1.13,1.25,0.7,2.23,3.23,5.43,0.49,1.2,1.05,2.99,2.83,1.8,2.76,0.57,0.85,4.37,4.22,0.53,2.6,1.82,3.68,3.29,2.85,0.51,1.24,0.21,0.68
September,,,,,,,,4.9,1.1,4.7,2.1,1.9,2.6,3.9,3.65,2.7,2.25,0.6,4.9,1.8,2,1.3,1.12,0.74,,0.54,0.57,0.75,0.46,3.95,2.93,3.54,1.48,5.99,0.27,0.8,4.2,2.04,2.55,4.55,3.6,2.5,2.3,2.5,3.05,2.6,3.6,0.4,2,1.66,0.88,2.89,1.18,2.51,2.23,2.47,1.75,3.42,2.82,3.51,2.23,1.07,1.08,4.28,3.47,3.47,3.37,2.43,1.85,3.58,3.53,0.65,3.78,1.23,3.12,4.65,2.55,1.34,1.1,0.27,2.99
October,,,,,,,,4.2,4.3,1.4,4.1,2.4,5.3,6.1,2.85,1.65,5.35,3.2,3.1,4,2.5,1.35,1.5,1.34,1.03,0.6,0.6,0.71,,2.71,5.27,1.38,2.15,6.89,2.12,2.51,2.4,2.44,2.55,3.68,4,6.4,2.34,6.8,4.5,4.9,4.8,3.4,1.5,5.94,1.11,1.11,3.98,2.05,2.38,0.98,3.78,4.9,2.72,1.96,0.46,1.21,0.43,5.63,2.58,3.88,6.08,3.7,3.34,5.14,4.48,2.96,3.56,2.33,5.73,6.99,3.55,1.35,3.39,0.53,0.39
November,,,,,,,,0.7,1.3,4.3,1.8,4.1,4.3,4.3,3.1,3.2,4.95,5.6,3.7,3.3,1.8,0.38,2.5,2,1,0.47,0.71,0.38,,2.62,4.82,1.52,1.96,8.46,1.67,1.95,1.1,4.08,4.58,5.2,3.54,3.7,1.6,4.8,3.2,2.9,7.7,2.3,3.4,4.68,6.32,4.35,3.8,4,4.4,3.93,3.36,3.93,2.19,4.66,3.42,0.84,1.57,6.76,2.75,1.83,3.86,3.18,3.62,4.17,3.64,2.25,3.4,2.36,2.78,3.5,1.47,2.29,2.29,1.27,1.26
December,,,,,,,,2.4,3.9,2.7,3.02,0.9,4.6,4.65,3.8,2,7.1,3.5,3.9,1.9,0.25,0.66,2.41,1.93,0.41,0.59,0.56,0.83,,4.08,0.69,2.66,2.85,6.99,5,2.55,1.88,2.39,4.97,6.25,4.95,9.7,3.85,3,6,2.3,4.1,1.9,1.74,3.82,3.38,3.87,4.87,3.38,4.6,5.93,3.51,2.04,4.06,4.09,1.77,3.28,2.97,3.46,3.26,2.45,4.28,1.13,4.1,5.76,2.94,4.43,2.8,1.56,3.13,3.3,5.45,2.61,1.33,0.42,0.49
Total,,,,,,,,,35.6,26.2,22.32,26.3,35.75,31.05,30.85,25.6,36.55,32.51,27.05,25.75,18.55,12.6,12.2,13.86,,5.6,5.84,6.35,,,37.1,24.82,24.93,37.53,32.81,16.53,22.73,19.35,27.05,35.89,33.78,41.55,23.58,40.5,36.3,38.5,46.9,17.92,25.24,,31.16,28.91,36.38,26.05,33.28,27.26,30.51,27.04,25.54,29.72,21.85,18.38,14.58,40,30.25,30.73,35.57,29.39,26.73,32.03,32.8,29.86,30.52,20.84,39.24,36.56,30.23,31.91,28.13,7.78,12.72
