SOUTHGATE-THE-LAWNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ295942,Long,-0.1303259,Lat,51.631715,Elevation,250,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,1.54,3.97,3.28,1.48,3.45,1.35,5.08,1.44,3.1,0.23,1.64,1.45,2.37,2.44,1.82,4.01,1.52,0.95,1.33,2.4,2.05,0.79,1.59,2.79,2.38,0.7,2.08,0.98,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,1.71,1.06,2.11,1.36,1.02,2.34,2.11,1.57,3.54,2.31,4.01,1.41,3.55,1.6,2.87,0.9,0.63,1.44,2.23,1.06,0.05,1.56,3.03,1.79,0.17,0.41,2.75,1.21,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,1.34,2.58,1.9,0.62,0.82,3.81,2.39,1.14,1.18,1.04,2.28,1.44,1.09,1.65,1.67,1.69,1.59,4.61,1.57,2.41,1.97,1.24,0.34,0.99,1.61,3.19,3.76,1.19,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,2.67,1.6,0.54,1.55,1.3,2.14,3.41,4.56,3.18,2.99,0.78,3.44,1.76,1.28,2.96,1.43,1.11,2.69,2.03,1.83,0.89,1,0.21,2.44,1.22,0.56,1.81,1.39,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,0.71,3.36,1.99,0.72,2.7,0.85,2.27,4.26,2.93,0.39,1.35,1.52,1.81,0.71,2.7,5.2,1.35,1.25,3.8,1.5,3.53,1.47,1,2.07,0.47,0.28,1.91,2.55,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,2.65,2.55,1.86,3.62,3.09,1.48,0.6,4.83,4.33,2.58,1.89,2.98,2.08,2.85,1.88,0.39,0.65,2.69,2.89,3.4,1.32,3.16,0.76,1.99,0.63,1.92,2.99,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,3.54,3.69,2.58,1.25,5.92,0.89,4.04,0.67,4.02,5.45,2.15,2.11,3.44,2.16,0.29,2.87,0.88,4.5,2.46,4.34,3.19,1.8,2.38,2.96,3.8,0.98,3.14,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,0.71,4.16,2.03,1.08,2.61,2.68,4.56,6.39,5.54,1.14,4.72,1.65,1.32,0.84,1.53,0.82,2.75,4.13,2.88,2.49,4.47,3.1,1.72,3.09,2.54,1.93,3.54,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,4.71,1.47,2.77,2.45,2.8,5.39,0.96,0.98,3.32,3.76,1.89,2.41,4.29,1.49,3.99,1.26,2.49,0.81,2.21,0.56,1.2,3.01,1.07,0.93,0.86,6.13,2.97,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,2.01,5.17,2.59,4.21,4.2,1.92,2.04,1.83,0.6,5.6,3.22,5.41,2.28,1.3,4.13,3.75,1.72,1.31,3.77,1.33,5.4,3.83,3.58,3.92,2.85,3.14,0.73,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,0.48,3.53,2.25,1.89,3.29,3.31,3.59,3.36,0.91,2.15,2.56,2.85,3.65,2.44,3.58,3.47,3.5,4.69,1.02,2.07,2.09,2.44,2.31,3.23,3.7,1.17,1.07,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,1.57,4.78,0.48,1.81,1.01,6.52,1.96,1.6,0.87,3.48,3.53,2.85,1.04,3.38,1.57,3.68,1.82,1.35,1.28,0.68,3.43,1.32,2.33,2.28,2.23,3.8,1.88,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,20.5,23.64,37.92,24.38,22.04,32.21,32.68,33.01,32.63,33.52,31.12,30.02,29.52,28.68,22.14,28.99,29.47,20.01,30.42,27.47,24.07,29.59,24.72,20.32,28.48,22.46,24.21,28.63,18.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_06_pt1-page-216.csv originally allocated to this location removed from folder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note TYRain_1931-1940_06_pt1-page-205.csv contains no rainfall values.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
