BARROW-UPON-SOAR-STRANCLIFFE,,,,,,,,,,
Grid ref,SK574181,Long,-1.1509072,Lat,52.757468,Elevation,220,ft,,
Station no,RR7589,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,2,1.13,1.91,2.03,3.51
February,,,,,,2.75,4.66,0.59,1.42,2.31
March,,,,,,1.06,4.76,1.27,0.88,3.65
April,,,,,,0.82,1.02,0.94,1.76,1.44
May,,,,,,1.5,2.27,2.31,1.48,1.11
June,,,,,,1.6,1.59,2.4,0.4,0.71
July,,,,,,7.39,1.07,1.78,1.89,3.62
August,,,,,,1.76,2.61,4.82,1.65,2.62
September,,,,,,1.01,0.68,1.39,4.16,1.73
October,,,,,,1.17,2.34,2.84,1.07,1.78
November,,,,,,2.56,2.26,0.69,1.31,2
December,,,,,,4.8,2.22,1.06,1.97,3.68
Total,,,,,,28.42,26.61,22,20.02,28.16
