CAPEL-CURIG-GLYN-CURIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SH722585,Long,-3.910603,Lat,53.108334,Elevation,710,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,4346/4/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,10.62,11.24,16.59,15.54,3.47,2.97,12.93,14.03,15.36,6.82,15.74,13.75,20.97,8.18,7.16,9.92,11.88,3.63,9.23,8.97,7.86,19.84,10.7,,
February,,,,,,5.08,11.66,6.14,10.65,6.95,7.55,3.74,8.53,3.74,12.48,13.41,1.6,8.86,7.46,14.47,8.93,3.2,4.99,7.68,4,1.04,8.83,16.14,,
March,,,,,,,3.62,6.52,5.92,7.93,7.07,6.38,3.67,2.06,5.08,3.84,12.31,6.81,4.02,6.07,10.82,6.78,4.33,8.08,2.96,3.88,8.45,2.35,,
April,,,,,,,7.72,0.85,5.34,5.08,2.07,4.77,3.62,2.74,5.55,2.05,10.33,4.13,9.26,8.11,7.25,4.43,6.83,2.3,5.72,3.47,1.42,,,
May,,,,,,2.85,1.78,6.04,1.92,3.12,4.94,7.43,8.4,4.66,6.11,2.79,4.23,3.82,4.82,1.9,3.03,3.28,4.27,6.61,8.68,2.84,4.33,,,
June,,,,,,7.64,3.89,11.48,5.49,0.77,0.79,0.69,7,6.39,6.61,8.44,4.83,12.76,2.27,3.93,2.66,6.12,3.6,5.2,7.64,3.99,2.74,,,
July,,,,,,7.67,2.73,8.8,9.43,4.96,2.95,7.31,6.49,4.82,4.47,4.88,4.47,5.57,2.55,7.4,3.39,2,8.61,9.47,2.19,10.34,11.26,,,
August,,,,,,2.85,3.44,4.01,3.4,2.19,9.67,8.32,10.26,4.32,2.34,8.44,0.84,10.1,5.57,12.61,10.83,6.6,8.7,8.34,2.32,12.43,10.66,,,
September,,,,,,7.78,4.63,2.99,2.15,8.12,1.38,7.75,9.53,9.94,7.04,12.87,6.5,10.9,2.14,17.7,10.71,8.73,9.65,12.08,5.29,7.34,12.91,,,
October,,,,,,8.65,5.35,18.62,5.99,11.44,10.36,11.89,9.43,11.77,9.89,1.74,1.41,6.08,12.99,9.07,1.88,11.53,4.08,23.63,6.22,7.44,11.97,,,
November,,,,,,11.81,3.65,11.62,16.62,15.68,5.89,2.46,6.38,15.47,0.95,15.49,17.6,6.32,10.2,10.14,14,7.21,11.74,18.02,3.66,4.1,4.23,,,
December,,,,,,15.32,7.33,8.35,8.18,8.59,8.75,12.93,4.78,12.78,9.06,12.58,5.77,12.65,18.21,5.93,18.56,8.57,4.26,11.57,11.98,9.88,8.45,,,
Total,,,,,,,67.04,102.01,90.63,78.3,64.39,86.6,92.12,94.05,76.4,102.27,83.64,108.97,87.67,104.49,101.98,80.33,74.69,122.21,69.63,74.61,105.09,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 Mar Apr estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
