CAPEL CURIG (GLYN CURIG),,,,,,,,,,,,
Grid ref,SH722585,Long,-3.910603,Lat,53.108334,,,,,,,
Station no,4346/4/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.92,11.88,3.63,9.23,8.97,7.86,19.84,10.70,,,,
February,8.93,3.20,4.99,7.68,4.00,1.04,8.83,16.14,,,,
March,10.82,6.78,4.33,8.08,2.96,3.88,8.45,2.35,,,,
April,7.25,4.43,6.83,2.30,5.72,3.47,1.42,,,,,
May,3.03,3.28,4.27,6.61,8.68,2.84,4.33,,,,,
June,2.66,6.12,3.60,5.20,7.64,3.99,2.74,,,,,
July,3.39,2.00,8.61,9.47,2.19,10.34,11.26,,,,,
August,10.83,6.60,8.70,8.34,2.32,12.43,10.66,,,,,
September,10.71,8.73,9.65,12.08,5.29,7.34,12.91,,,,,
October,1.88,11.53,4.08,23.63,6.22,7.44,11.97,,,,,
November,14.00,7.21,11.74,18.02,3.66,4.10,4.23,,,,,
December,18.56,8.57,4.26,11.57,11.98,9.88,8.45,,,,,
Total,101.98,80.33,74.69,122.21,69.63,74.61,105.09,,,,,
Calc annual,101.98,80.33,74.69,122.21,69.63,74.61,105.09,29.19,0.00,0.00,,
Difference,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
