CROWLE - WHARF ROAD,,,,,,,,,,,,,,,,,,
Grid ref,SE777119,Long,-0.827,Lat,53.598,Elevation,17,ft,,,,,,,,,,
Station no,2587/5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947
January,,1.52,0.98,1.48,1.65,1.60,2.62,2.73,1.66,3.38,2.16,2.17,2.35,3.22,2.17,2.42,1.38,2.01
February,,2.03,0.56,2.55,0.48,2.33,2.17,2.51,1.30,0.95,1.97,3.18,2.03,0.62,1.67,1.73,1.92,2.88
March,,0.23,1.28,2.32,1.77,0.65,0.83,2.15,0.26,1.93,1.67,2.47,1.35,0.41,0.30,0.49,0.02,4.24
April,,3.22,1.97,0.87,2.60,1.85,1.25,3.12,0.09,1.30,1.62,1.00,0.78,1.03,2.76,1.59,0.66,0.68
May,,2.15,5.99,2.18,0.83,0.31,1.38,2.97,3.49,1.32,0.28,1.18,2.70,1.99,2.18,1.45,1.17,1.88
June,,4.34,0.63,2.33,1.66,2.50,3.09,1.94,2.17,1.87,0.98,0.27,1.60,2.10,2.13,2.08,2.63,1.92
July,,3.05,2.53,1.57,2.25,0.36,4.84,2.17,3.00,3.30,5.91,3.32,1.76,1.21,2.06,1.99,2.63,1.96
August,,3.73,1.70,0.50,1.88,1.81,1.47,0.40,3.05,2.48,0.71,1.91,3.14,2.57,3.49,2.68,4.85,0.16
September,,2.72,1.49,2.15,1.45,3.43,2.76,0.55,1.88,1.27,0.87,0.42,1.39,2.27,4.30,1.23,2.80,1.31
October,,0.75,3.20,5.64,1.17,2.68,2.01,2.15,2.74,3.65,3.34,2.77,1.95,1.55,2.30,2.40,0.85,0.86
November,,2.80,1.25,1.65,2.26,3.67,2.26,1.81,2.05,3.79,4.25,2.81,1.04,1.80,3.80,0.39,4.02,1.04
December,1.32,0.75,0.77,0.35,3.25,2.00,1.10,4.41,3.44,1.82,2.27,0.59,1.72,0.91,1.22,1.14,2.07,1.31
Total,,27.29,22.35,23.59,21.25,23.19,25.78,26.91,25.13,27.06,26.03,22.09,21.81,19.68,28.38,19.59,25.00,20.25
,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/115,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/190,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/273,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
# The readings for January and February 1940 are part estimated and have been retained.,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
# The site changed name from the original 'Crowle - Snowdrop Villa' in 1939. It is unclear whether this involved a location change.,,,,,,,,,,,,,,,,,,
# The grid reference is taken from the 1940s sheet.,,,,,,,,,,,,,,,,,,
"# Snowdrop Villa was about 400m north of this grid reference, at SE775123.",,,,,,,,,,,,,,,,,,
