"HUTTON MAGNA VICARAGE",,,,,,,,,,,,
Grid ref,NZ127128,Long,-1.805363,Lat,54.510352,,,,,,,
Station no,RR4605,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,1.58,,
February,,,,,,,,,,1.37,,
March,,,,,,,,,,4.44,,
April,,,,,,,,,,2.08,,
May,,,,,,,,,,1.58,,
June,,,,,,,,,,1.98,,
July,,,,,,,,,,2.17,,
August,,,,,,,,,1.27,2.88,,
September,,,,,,,,,3.23,1.98,,
October,,,,,,,,,2.35,2.84,,
November,,,,,,,,,1.19,0.46,,
December,,,,,,,,,0.83,4.12,,
Total,,,,,,,,,,27.48,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.87,27.48,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,,
