HUTTON MAGNA VICARAGE,,,,,,,,,,,,,,,
Grid ref,NZ127128,Long,-1.805,Lat,54.510,Elevation,450,ft,,,,,,,
Station no,RR4605,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922
January,,1.58,3.05,1.61,3.91,4.94,1.88,2.27,1.89,4.16,3.30,3.43,3.59,4.70,3.99
February,,1.37,4.05,2.20,1.97,1.09,3.00,4.04,4.37,0.91,2.39,2.00,1.37,0.11,2.88
March,,4.44,1.02,1.81,2.60,4.92,2.04,1.04,5.77,2.62,1.41,3.62,2.82,1.46,2.05
April,,2.08,2.48,1.20,0.06,4.04,0.52,0.69,1.21,2.54,1.31,1.61,4.84,0.82,3.35
May,,1.58,2.48,1.25,2.66,2.84,1.39,2.12,4.50,2.15,1.96,1.61,3.46,1.56,1.70
June,,1.98,1.83,2.79,6.31,1.81,3.67,0.72,1.56,1.64,0.26,0.87,1.16,0.57,1.54
July,,2.17,3.81,0.17,3.51,1.35,3.15,4.35,3.28,1.43,5.12,2.32,5.03,1.98,4.88
August,1.27,2.88,3.20,1.73,6.28,0.68,1.61,4.50,2.03,7.88,3.26,2.70,1.15,4.34,2.06
September,3.23,1.98,0.22,2.45,2.59,2.74,1.67,1.17,2.25,1.02,5.66,0.83,1.28,0.83,4.45
October,2.35,2.84,1.81,2.97,2.13,3.57,2.26,1.48,4.49,2.66,2.33,4.00,2.38,1.59,1.91
November,1.19,0.46,3.24,4.57,1.96,1.63,4.93,2.16,3.75,0.91,1.73,3.37,1.55,2.69,
December,0.83,4.12,3.32,5.11,2.32,1.50,6.73,7.94,3.18,3.28,3.49,3.60,3.85,2.70,
Total,,27.48,30.51,27.86,36.30,31.11,32.85,32.48,38.28,31.20,32.22,29.96,32.48,23.35,
,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/050,,,,,,,,,,,,,,,
TYRain_1910-1919_21_pt1/067,,,,,,,,,,,,,,,
TYRain_1920-1930_24_pt1/040,,,,,,,,,,,,,,,
