TORSIDE-CLOUGH-EDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK066970,Long,-1.9020428,Lat,53.469697,Elevation,1450,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2644/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,4.25,4.14,3.65,5.92,6.06,5.78,2.16,2.75,4.43,6.71,9.31,6.08,5.72,3.41,12.39,4.2,4,7.85,4.99,3.18,5.85,3.07,7.53,4.37,6.21,4.88,7.13
February,,,,0.41,7.73,2.25,7.33,2.78,5.09,2.84,6.49,3.41,4.22,3.49,6.72,9.2,2,3.47,3.25,6.48,4.15,3.09,3.2,3.65,2.95,2.44,4.34,7.58,0.91,3.08
March,,,,4.79,3.18,4.25,2.44,2.76,3.17,3.92,5.93,3.35,2.3,1.02,2.18,1.56,7.03,2.19,2.62,2.6,6.6,3.27,3.64,3.09,3.37,2.12,3.67,2.8,2.67,1.75
April,,,,2.81,3.98,1.94,4.26,0.88,3.09,3.05,3.82,2.64,3.45,4.03,2.97,2.33,4.3,2.36,5.78,4.53,3.35,4.41,3.64,1.53,3.05,3.75,0.73,1.89,,2.9
May,,,,3.44,0.68,1.4,2.94,4.46,2.32,1.25,3.3,4.16,3.55,7.75,4.13,1.43,3.82,1.98,3.35,2.37,2.45,3.2,2.78,4.18,4.9,1.92,1.55,4.54,1.53,2.86
June,,,,3.11,5.53,3.93,2.69,6.08,3.62,1.32,2.54,1.62,4.9,4.5,5.96,5.7,2.8,6.75,1.4,4.07,1.68,4.47,4.2,4.63,3.87,5.1,2.08,5.59,3.08,2.34
July,,,,7.67,2.74,6.12,4.06,6.79,9.09,6.75,3.92,6.9,2.94,4.97,2,7.28,4.1,2.84,2.73,4.92,5.05,4.5,8.67,9.08,1.41,8.77,6.08,5.95,5.08,8.96
August,,,,4.15,2.48,3.47,1.62,5.74,2.85,2.42,8.53,4.95,7.87,5.46,3.72,5.07,0.39,6.3,,5.27,6.02,4.28,6.53,7.43,1.69,13.63,8.8,5.27,0.6,6.28
September,,,,4.4,7.42,8.08,1.65,2.9,1.9,5.39,1.12,4.55,5.71,6.4,3.6,7.5,2.84,3.23,2.16,,3.66,6.22,4.11,6.75,3.39,5.06,10.83,6.46,0.33,4.95
October,,,,7.69,10.6,7.08,2.86,10.53,3.65,4.6,7.42,10.11,3.69,5.92,8.2,1.41,1.6,4.11,4.45,,1.33,6.02,2.9,10.04,3.28,4.2,7.2,6.18,5.45,6.45
November,,,,3.25,7.65,7.01,2.46,6.01,9.44,10.88,4.06,1.43,4.66,9.4,0.9,9.18,7.9,3.53,8.7,7.88,10.45,4.83,4.67,7.62,2.43,2.83,3.52,1.9,7.13,6.96
December,,,,6.26,3.93,4.75,3.6,5.62,4.34,6.33,4,4.65,3.01,4.81,3.96,4.86,6.57,3.25,8.46,3.24,8.71,4.92,2.73,7.96,6.47,7.81,7,4.75,8.42,5.82
Total,,,,52.23,60.06,53.93,41.83,60.61,54.34,50.91,53.88,52.2,53.01,67.06,50.42,61.24,46.76,52.4,,,61.3,54.2,50.25,71.81,39.88,65.16,60.17,59.12,,59.48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 11901 CLOUGH EDGE Start 1934 and still current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is from 1950s record and is on Torside Edge. Altitudes match. Gauge started in Cheshire, Station No 2745/5, before being designated as Derbyshire due to boundary change. No evidence that the gauge moved.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan and Feb 1941 anf Feb 1947 estimated for snow but left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
