YARMOUTH-NATIONAL-SCHOOL-(THE-TOWERS),,,,,,,,,
Grid ref,SZ355897,Long,-1.4978,Lat,50.70625,Elevation,10,ft,
Station no,RR6551,,,,,,,,
,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888
January,,,,,,3.7,4.97,2.44,0.72
February,,,,,3.32,4.39,1.08,0.84,1.87
March,,,,,2.21,1.96,3,0.99,3.17
April,,,,,2.32,0.96,2.67,1.03,1.37
May,,,,,1.19,3.3,2.52,1.12,1.69
June,,,,,2.73,2.1,1.08,0.86,2.92
July,,,,,3.24,0.37,3.11,0.91,
August,,,,,1.6,0.79,1.68,2.98,
September,,,,,3.16,4.1,2.53,5.55,
October,,,,,1.22,4.26,7.42,1.28,
November,,,,,1.19,4.12,6.82,5.4,
December,,,,,3.81,2.72,6.63,2.08,
Total,,,,,,32.77,43.51,25.48,
,,,,,,,,,
1888 July 13 Gauge moved 200yds to The National School,,,,,,,,,
