YARMOUTH SCHOOL,,,,,,,,,,,,
Grid ref,SZ354894,Long,-1.500077,Lat,50.703168,,,,,,,
Station no,RR6551,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,7.11,0.53,0.95,,,
February,,,,,,,3.10,1.22,1.02,,,
March,,,,,,,1.33,0.40,2.47,,,
April,,,,,,,0.70,2.81,1.85,,,
May,,,,,,,2.30,1.60,1.17,,,
June,,,,,,,1.18,1.58,0.32,,,
July,,,,,,,0.59,0.88,1.27,,,
August,,,,,,,0.32,0.87,2.14,,,
September,,,,,,,1.20,0.91,1.38,,,
October,,,,,,,5.56,7.78,1.44,,,
November,,,,,,,4.48,2.44,0.91,,,
December,,,,,,,1.31,3.14,2.78,,,
Total,,,,,,,29.18,24.16,17.70,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,29.18,24.16,17.70,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,NaN,,
