YARMOUTH-NATIONAL-SCHOOL,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ354895,Long,-1.49903,Lat,50.70418,Elevation,8,ft,,,,,,,,,,,,,,
Station no,RR6551,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,0.76,3.01,1.91,1.14,1.67,,,,2.44,0.61,3.04,,,,,,,7.11,0.53,0.95,
February,,1.43,0.71,0.03,1.06,3.05,,,,3.46,2.08,2.49,,,,,,,3.1,1.22,1.02,
March,,1.73,0.78,1.77,0.77,0.45,,,,4.22,0.39,0.62,,,,,,,1.33,0.4,2.47,
April,,2.07,2.38,0.93,0.6,0.05,,,,2.02,1.14,2.33,,,,,,,0.7,2.81,1.85,
May,,1.96,1.94,1.94,0.73,0.86,,,,2.31,3.27,0.82,,,,,,,2.3,1.6,1.17,
June,,0.73,2.43,1.8,1.33,0.89,,,,3.31,1.32,1,,,,,,,1.18,1.58,0.32,
July,,2.31,3.32,1.42,2.14,5.89,,,,0.28,0.2,0.36,,,,,,,0.59,0.88,1.27,
August,1.75,2.59,3.52,5.16,2.54,0.72,,,,2.96,1.45,0.98,,,,,,,0.32,0.87,2.14,
September,0.93,0.78,0.72,1.54,2.09,1.5,,,,2.13,1.12,2.19,,,,,,,1.2,0.91,1.38,
October,2.21,6.7,0.84,8.11,4.67,4.5,,,,0.68,5.05,1.15,,,,,,,5.56,7.78,1.44,
November,4.43,1.04,2.02,3.81,2.45,1.65,,,,1.04,4.85,3.17,,,,,,,4.48,2.44,0.91,
December,1.68,1.54,0.85,3.94,1.94,2.89,,,,3.02,2.69,1.74,,,,,,,1.31,3.14,2.78,
Total,,23.64,22.52,32.36,21.46,24.12,,,,27.87,24.17,19.89,,,,,,,29.18,24.16,17.7,
,,,,,,,,,,,,,,,,,,,,,,
1888 July 13 Gauge moved 200yds from The Towers,,,,,,,,,,,,,,,,,,,,,,
