"CARDIFF (ST FAGAN'S CASTLE)",,,,,,,,,,,,
Grid ref,ST119773,Long,-3.270257,Lat,51.487761,,,,,,,
Station no,4059,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.22,4.51,1.23,3.47,4.50,5.66,4.92,4.28,5.77,4.74,,
February,4.98,1.51,2.42,5.31,2.77,0.46,5.18,5.43,0.57,3.69,,
March,5.36,3.27,1.85,5.15,1.48,1.70,5.41,1.02,3.22,2.54,,
April,4.34,3.55,4.38,1.08,2.29,1.95,0.23,0.99,4.06,3.25,,
May,3.23,4.07,3.68,2.57,5.51,1.43,1.97,4.59,1.35,1.98,,
June,1.02,2.41,1.83,4.28,6.71,2.95,1.34,4.18,1.95,2.92,,
July,1.40,2.43,5.92,4.86,0.42,4.43,4.88,4.29,3.79,6.46,,
August,5.54,7.57,6.10,4.47,1.50,7.34,4.80,6.08,2.17,4.88,,
September,4.80,5.40,5.50,7.60,2.42,5.97,5.87,7.45,0.68,6.56,,
October,2.68,4.27,3.90,7.03,2.83,2.28,4.46,5.70,6.49,9.60,,
November,8.66,5.22,4.15,9.12,4.11,1.71,3.21,2.85,5.56,9.56,,
December,4.19,4.04,2.10,4.07,7.11,5.57,2.23,4.56,10.08,8.25,,
Total,52.42,48.25,43.06,59.01,41.65,41.45,44.50,51.42,45.69,64.43,,
Calc annual,52.42,48.25,43.06,59.01,41.65,41.45,44.50,51.42,45.69,64.43,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
