"LLANSILIN (PENYGWELY RESERVOIR)",,,,,,,,,,,,
Grid ref,SJ220321,Long,-3.160503,Lat,52.880685,,,,,,,
Station no,4323,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.07,3.79,0.96,2.70,2.95,4.73,,,,,,
February,4.61,0.48,1.68,3.75,2.76,0.42,,,,,,
March,4.96,1.54,1.52,3.09,3.12,1.67,,,,,,
April,2.45,2.45,3.35,0.50,1.57,1.78,,,,,,
May,4.12,2.60,2.95,3.66,5.72,0.56,,,,,,
June,1.41,1.96,2.01,4.20,4.01,1.44,,,,,,
July,1.80,2.60,2.81,2.51,0.69,3.61,,,,,,
August,4.94,3.29,3.20,4.15,1.31,6.00,,,,,,
September,3.30,2.93,3.95,4.32,1.29,4.02,,,,,,
October,-999.00,9.20,1.97,7.90,1.89,1.85,,,,,,
November,9.36,3.74,4.02,9.17,2.87,1.51,,,,,,
December,5.37,3.62,1.52,3.34,4.42,4.70,,,,,,
Total,46.98,38.20,29.94,49.29,32.60,32.29,,,,,,
Calc annual,45.39,38.20,29.94,49.29,32.60,32.29,0.00,0.00,0.00,0.00,,
Difference,1.59,0.00,0.00,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,,
