DREM CRAIGIELAW,,,,,,,,,,,,,,,,,,,,
Grid ref,NT453797,Long,-2.8787819,Lat,56.007101,Elevation,50,ft,,,,,,,,,,,,
Station no,RR2700,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,1.16,0.41,1.75,1.13,1.68,2.5,2.11,3.31,,,
February,,,,,,,,,,1.96,1.17,2.49,0.85,1.07,1.4,1.54,1.01,,,
March,,,,,,,,,,1.87,1.75,1.22,2.03,1.6,1.16,1.2,2.5,,,
April,,,,,,,,,,1.93,2.72,0.77,2.8,1.07,1.4,2.5,1.32,,,
May,,,,,,,,,,1.92,1.02,2.36,1.79,0.33,1.58,3.01,3.63,,,
June,,,,,,,,,,4.33,1.36,1.84,3.13,1.91,0.69,0.7,1.55,,,
July,,,,,,,,,,6.84,4,3.56,4.62,2.74,3.34,0.87,2.73,,,
August,,,,,,,,,,2.83,0.46,5.15,1.28,2.32,2.15,2.17,1.94,,,
September,,,,,,,,,,2.38,3.29,3.06,2.29,1.97,,3.18,2.16,,,
October,,,,,,,,,,0.75,4.39,3.2,3.01,1.25,4,1.03,3.11,,,
November,,,,,,,,,,2.31,3.26,1.4,3.5,1.25,1.75,1.68,1.86,,,
December,,,,,,,,,,0.96,3.08,1.28,5.04,1.06,0.43,0.61,2.67,,,
Total,,,,,,,,,,29.24,26.91,28.08,31.47,18.25,20.4,20.6,27.79,,,
