HADFIELD-MILLBROOK-8-INCH-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK010967,Long,-1.9864042,Lat,53.467039,Elevation,442,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,1.7,1.89,1.81,3.76,3.44,4.24,1.94,3.13,3.31,1.64,2.23,2.76,4.75,5.31,2.52,3.29,3.17,3.59,2.51,4.62,1.84,3.46,2.37,4.62,1.72,,3.72,,,,,,
February,,,,,,,,0.96,2.06,2.53,0.86,0.51,3.6,4.87,5.55,0.62,2.69,2.58,3.15,1.12,3.26,2,1.03,3.76,4.45,2.53,3.3,2.46,3.77,3.1,4.25,4.51,,1.33,,,,,,
March,,,,,,,,1.44,2.93,4.28,4.26,2.36,1.47,0.68,3.5,3.58,5.41,3.44,2.94,2.38,0.95,3.07,2.31,4.28,2.51,4.45,3.59,3.31,3.39,2.84,0.74,2.57,,4.32,,,,,,
April,,,,,,,,1.64,2.42,2.45,0.89,1.88,1.49,0.74,1.69,1.6,1.98,3.24,2.55,3.6,2.67,2.44,2.44,2.39,2.65,3.03,2.51,2.23,2.4,3.24,4.43,3.14,,3.94,,,,,,
May,,,,,,,,2.28,1.04,1.89,3.13,3.66,4.9,2.72,2.79,1.36,0.63,2.11,3.71,2.56,1.18,1.05,2.9,2.53,2.76,0.8,3.47,3.96,2.56,2.06,2.95,2.51,,2.96,,,,,,
June,,,,,,,,0.31,2.58,0.79,3.86,2.57,3.21,2.52,3.47,3.12,3.11,3.31,2.91,2.11,4.72,1.73,1.46,1.59,0.91,3.42,1.5,5.83,1.75,3.03,3.25,3.65,,2.24,,,,,,
July,,,,,,,,1.24,6.11,2.82,3.76,3.44,3.25,3.28,3.45,7.16,2.15,2.07,1.07,2.2,4.1,2.15,2.23,3.54,1.68,2.63,3.14,2.68,5.7,5.76,5.41,0.53,,1.16,,,,,,
August,,,,,,,,1.63,3.54,5.89,5.72,6.91,4.38,3.39,4.83,3.84,2.84,3.35,6.04,2.26,5.75,2.07,3.45,4.21,4.22,4.02,3.79,4.21,3,3.16,5.11,3.18,,2.1,,,,,,
September,,,,,,,,4.06,1.92,3.77,1.08,3.66,3.65,4.74,0.74,1.16,6.43,4.72,0.47,6.22,1.39,0.61,0.94,4.46,1.3,2.86,1.55,0.8,3.31,2.94,0.34,3.67,,1.81,,,,,,
October,,,,,,,,2.6,1.74,3.94,2.92,5.17,7.32,2.81,4.98,3.81,5.92,1.94,4.23,3.63,4.57,3.33,5.27,8.47,1.5,4.02,5.45,5.13,0.91,5.62,3.1,2.56,,2.04,,,,,,
November,,,,,,,,2.1,7.21,2.06,5.2,3.34,2.77,3.47,2.68,2.93,1.87,5.49,2.82,1.41,2.71,5.74,1.74,4.35,3.75,3.93,4.45,3.2,2.8,1.53,4.97,3.86,,3.89,,,,,,
December,,,,,,,,3.02,2.59,3.26,0.48,6.77,2.55,3.86,3.55,4.43,4.69,3.86,5.44,3.31,4.63,7.61,3.11,1.51,3.03,0.81,4.57,3.53,3.15,7.56,4.99,5.57,,3.48,,,,,,
Total,,,,,,,,22.98,36.03,35.49,35.92,43.71,42.83,35.02,40.36,36.92,39.36,38.34,38.09,35.55,41.24,34.32,30.17,44.26,32.35,35.01,41.94,39.18,36.2,43.21,44.16,37.47,,32.99,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR Millbrook House. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"There are some duplicated readings between the two gauges, mostly not suspicious except possibly 1913 where most readings are duplicated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
