SOUTH-HAYLING-COUNTY-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU725007,Long,-0.97189,Lat,50.80175,Elevation,10,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,4.24,3.76,2.4,4.2,1.46,3.57,2.24,2.32,1.84,2.08,0.63,4.6,5.12,3.43,5.27,3.05,,3.06,5.39,1.93,1.47,2.32,2.04,,,,3.51,2.28,1.29,1.52,,,,,,
February,,,,,,4.87,1.9,4.13,1.83,0.92,1.37,1.39,0.22,3.2,0.03,2.98,2.6,4.29,0.57,1.31,3.74,,0.41,1.7,0.59,1.77,2.84,2.55,,,,5.67,0.7,0.94,2.81,,,,,,
March,,,,,,0.28,0.47,2.45,1.69,0.13,1.37,1.09,1.51,2.11,2.19,0.64,1.68,2.73,0.38,1.23,2.92,,2.64,0.64,0.08,0.81,1.05,4.91,,,,3.98,2.14,0.44,3.26,,,,,,
April,,,,,,2.49,2.77,1.45,1.99,0.76,3.17,2.71,2.12,1.06,1.67,2.82,1.49,1.37,0.03,2.3,0.8,,1.49,1.05,1.07,1.13,2.18,1.63,,,,2.13,1.2,1.16,0.32,,,,,,
May,,,,,,4.32,2.25,0.9,1.23,1.9,1.2,2.48,3.79,2.39,0.69,0.84,0.08,1.5,1.69,1.26,0.6,,2.96,2.46,0.44,1.7,3.34,0.2,,,,2.02,1.94,1.91,2.31,,,,,,
June,,,,,,0.02,2.4,2.36,1.72,1.31,0.76,1.47,1.21,1.51,1.38,1.47,2.8,0.97,0.6,0.93,0.21,,0.41,1.51,0.48,1.71,3.23,1.43,,,,1.19,1.13,1.38,3.19,,,,,,
July,,,,,,3.26,1.34,2.25,1.46,2.05,1.7,3.13,2.22,1.22,0.98,0.97,3.96,1.91,1.5,,2.9,,1.41,1.8,1.4,3.34,1.66,0.77,,,,2.9,0.28,2.57,3.64,,,,,,
August,,,,,,4.16,1.72,2.75,3.08,1.58,2.24,2.71,1.14,0.62,2.91,3.8,0.27,1.39,1.41,1.98,0.02,,2.49,0.8,0.84,1.6,4.97,0.14,,,,4.23,1.29,1.7,,,,,,,
September,,,,,,2.35,0.86,5.93,0.77,0.53,2.25,1.64,1.88,3.4,1.78,3.18,2.71,1.98,1.36,0.77,1.61,,2.16,1.42,1.6,1.52,2.52,0.72,,,,2.76,4.34,3.17,,,,,,,
October,,,,,,3.22,2.73,1.68,7.1,3.46,2.28,0.63,5.8,1.96,1.66,3.34,0.7,1.61,3.06,4.85,3.63,,3.4,3.37,4.24,2.7,0.69,0.07,,,,0.83,3.37,3.11,2.72,,,,,,
November,,,,,,3.54,7.51,3.37,3.48,6.41,4.56,3.62,1.43,0.66,3,6.83,4.37,2.03,4.49,5.69,9.12,,1.37,1.49,5.75,0.28,4.56,1.73,,,,6.66,3.61,1.61,5.86,,,,,,
December,,,,,,4.09,0.35,3.46,3.63,5.48,3.32,0.64,0.73,0.81,7.15,3.64,1.89,3.26,2.64,1.33,2.2,,3.56,2.89,2.21,4.09,2.92,2.37,,,,2.28,2.52,0.78,3.11,,,,,,
Total,,,,,,36.84,28.06,33.13,32.18,25.99,27.79,23.75,24.37,20.78,25.52,31.14,27.15,28.16,21.16,,30.8,,25.36,24.52,20.63,22.12,32.28,18.56,,,,38.16,24.8,20.06,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 Jan 1 Gauge moved 200yds NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Not printed Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948 No record owing to broken instrument Record being kept for 1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 Record should be available for 1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952 Not printed Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 Aug Sept Estimated due to holidays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 Station terminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
