HASTINGS-HARMERS-RESERVOIR,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ806105,Long,0.56509679,Lat,50.865796,Elevation,77,ft,,,,,,,,,,,,
Station no,RR7770,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,3.64,2.41,3.84,1.19,6.97,1.77,3.69,0.33,,,,,,,,,
February,,,,2.38,0.99,0.93,2.67,2.66,1.87,3.62,2.63,,,,,,,,,
March,,,,2.53,0.59,0.78,2.83,2.38,1.89,0.87,0.73,,,,,,,,,
April,,,,0.76,2.41,1.18,1.79,2.51,3.69,3.07,2.29,,,,,,,,,
May,,,,1.19,0.77,0.94,1.42,2.58,3.71,3.01,0.06,,,,,,,,,
June,,,,2.13,1.29,2.02,1.37,2.35,1.16,4,3.02,,,,,,,,,
July,,,,1.56,0.66,2.36,0.4,2.39,0.79,3.39,3.9,,,,,,,,,
August,,,,2.4,1.73,2.18,3.37,2.47,8.18,3.8,0.66,,,,,,,,,
September,,,,2.4,3.95,3.3,3.44,1.05,1.88,2.81,3.44,,,,,,,,,
October,,,,3.7,3.6,4.67,1.76,3.56,3.47,1.08,7.45,,,,,,,,,
November,,,,2.67,1.56,6.57,3.61,7.51,4.17,0.9,4.48,,,,,,,,,
December,,,,0.6,2.53,1.69,7.23,2.75,2.34,0.96,4.11,,,,,,,,,
Total,,,,25.96,22.49,30.46,31.08,39.18,34.92,31.2,33.1,,,,,,,,,
