POTTON-WRESTLINGWORTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL258471,Long,-0.164502,Lat,52.10793,Elevation,119,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,2.16,1.38,2.3,1.88,3.03,1.25,1.83,0.27,0.66,1.18,1.13,1.7,1.52,2.56,1.36,0.97,0.87,1.69,1.57,1.05,1.7,1.51,2.59,1.1,2.41,0.91,2.03,2.46,0.59,0.47,2.18,1.42,0.95,2.5,1.36,0.94,0.78,1.6,1.18,,,,,,,,
February,,,,1.83,0.89,0.73,1.91,1.97,1.04,2.7,1.53,2.16,1.49,2.68,0.8,1.8,0.27,0.6,1.3,1.76,0.79,0,1.36,2.5,1.88,0.22,0.47,2.41,0.86,1.49,3.13,0.72,0.94,0.65,2.16,1.02,1.65,1.1,1.07,0.33,2.03,1,,,,,,,,
March,,,,1.26,0.74,0.5,2.32,1.79,0.85,0.6,0.89,1.09,1.23,0.63,0.74,1.1,1.43,1.49,2.38,1.59,2.3,1.42,0.94,0.22,0.87,1.71,3.56,2.57,1.46,0.88,0.57,2.51,0.83,2.63,1.02,1.85,2.05,0.79,2.35,3.17,0.86,1.93,,,,,,,,
April,,,,0.71,1.43,1.44,2.35,2.52,2.2,2.28,1.45,1.16,2.89,2.33,1.2,2.3,1.36,1.06,1.57,2.27,0.54,0.94,0.99,0.12,1,0.93,0.95,2.36,1.49,2.22,0.51,2.09,0.58,1.43,0.82,1.4,0.63,2.3,2.71,1.29,1.85,1.08,,,,,,,,
May,,,,1.86,1.11,1.64,0.69,2.14,3.97,2.94,0.85,0.82,1.24,1.3,0.62,2.19,4.93,2.14,0.59,3.82,1.9,3.05,1.3,0.75,1.77,1.13,0.49,1.46,3.1,1.62,1.25,0.96,2.19,3.68,1.32,1.63,1.23,3.93,1.37,1.58,2.8,0.95,,,,,,,,
June,,,,1.69,1.63,3.43,1.62,1.28,2.06,4.61,3.04,1.62,2.59,3.59,1.26,1.9,0.42,0.73,1.97,1.69,2.24,1.58,3.1,0.99,2.3,0.97,2.68,2.63,1.68,1.43,3.2,1.55,3.03,3.68,0.7,3.13,3.59,2.22,1.11,4.3,1.19,2.41,,,,,,,,
July,,,,2.02,1.43,5.13,1.29,3.01,0.41,3.9,4.78,2.01,2.8,2.93,3.18,0.6,2.27,0.49,3.06,2.85,2.8,3.27,2.49,4.2,2.2,3.66,0.89,1.28,1.29,1.41,2.06,2.72,1.5,4.59,2.71,1.16,1.5,2.82,2.69,3.82,1.59,0.42,,,,,,,,
August,,,,3.38,1.38,1.77,1.73,4.15,4.55,4.75,1.78,4.71,1.6,0.88,1.82,2.01,1.72,1.32,2.44,2.12,1.55,3.96,2.36,3.26,3.31,3.64,2.34,3.55,1.55,0.91,2.27,1.52,2.66,2.92,1.8,2.71,0.87,1.91,2.21,2.78,1.72,1.06,,,,,,,,
September,,,,2.3,2.93,2.5,5.22,1.69,0.73,2.5,4.47,2.25,2.09,3.59,1.56,3.45,1.12,2.13,1.08,2.68,0.23,1.36,2.71,1.06,1.38,0.61,4.97,2.43,0.26,1.69,0.34,0.92,1.37,2.15,1.46,1.9,1.08,0.63,1.22,2.56,0.87,1.2,,,,,,,,
October,,,,2.21,2.07,3.34,0.95,1.18,2.44,0.45,4.48,2.15,5.22,1.66,1.29,4.9,2.53,1.28,0.8,2.69,1.73,4.98,3.72,3.84,2.22,1.99,3.41,1.12,2.27,3.2,1.8,1.48,1.22,4.79,1.04,1.21,3.1,2.39,1.26,4.34,2.42,1.96,,,,,,,,
November,,,,1.85,1.81,4.54,3.46,2.99,3.72,0.76,2.16,1.83,3.13,2.66,1.09,3.33,2.51,2.08,3.02,0.75,1.91,2.09,1.43,2.13,4.42,2.57,1.02,0.84,2.06,2.44,1.8,1.37,0.98,1.87,1.51,1.89,4.12,1.96,0.92,0.57,3.23,2.9,,,,,,,,
December,,,,0.42,2.64,0.6,4.45,1.71,1.24,0.51,2.42,3.16,2.79,0.88,1.7,0.74,3.93,1.07,1.01,1.09,0.6,2.98,1.63,1.09,1.63,1.72,2.87,1.55,2.28,1.6,1.95,2.36,1.11,1.04,1.59,0.75,2.35,2.98,1.73,2.54,3.85,3.6,,,,,,,,
Total,,,,21.69,19.44,27.92,27.87,27.46,24.46,27.83,28.12,23.62,28.25,24.26,16.96,25.84,25.05,15.75,20.19,24.18,18.28,27.2,23.08,21.86,24.49,21.74,24.75,24.61,19.21,20.92,21.34,18.79,16.88,31.61,17.55,19.6,24.67,24.39,19.58,28.06,24.01,19.69,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1883 Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
