MAIDSTONE-ULCOMBE-PLACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ847498,Long,0.64332,Lat,51.217521,Elevation,350,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,3.21,0.91,0.78,2.04,3.48,0.89,3.15,1.09,1.98,1.04,2.52,1.6,1.85,3.19,0.81,3.23,1.01,1.57,2.52,3.92,2.81,1.99,2.88,1.34,2.26,,,,,,
February,3.75,1.43,1.07,1.21,2.57,0.92,1.77,1.37,1.38,0.88,3.52,1.3,1.51,0.79,2.88,3.54,3.91,0.93,0.93,1.71,0.54,1.35,1.69,3.37,1.02,,,,,,
March,1.12,2.01,1.28,1.94,1.7,2.78,1.92,0.9,1.87,3.96,1.13,2.3,3.25,1.91,4.58,0.87,3.35,1.61,0.87,3.51,1.24,1.03,1.86,1.93,1.59,,,,,,
April,1.46,1.89,0.51,2.49,1.02,2.4,1.19,2.63,2.33,1.62,1.61,2.08,0.18,2.82,1.45,1.26,1.7,1.76,1.87,3.39,2.71,1.64,2.07,2.22,3.34,,,,,,
May,1.23,1.13,2.31,2.5,2.12,1.04,1.77,2.09,1.41,1.17,2.5,1.24,0.94,0.91,1.08,2.66,1.96,2.31,1.76,0.23,1.23,1.29,0.6,2.94,4.29,,,,,,
June,2.98,1,2.13,4.12,1.47,4.15,1.77,1.61,1.04,,2.11,1.83,3.19,0.58,0.86,1.37,2.59,1.91,0.62,0.82,0.96,0.09,1.46,0.78,1.69,,,,,,
July,0.88,2.53,1.4,5.98,2.76,1.35,0.6,1.63,2.84,3.7,2.53,0.4,1.45,3.29,2.1,2.55,1.64,3.95,3.86,2.52,3.91,0.28,2.43,0.82,3.35,,,,,,
August,1.89,1.98,3.33,2.54,1.16,2.29,0.69,1.88,4.17,2.2,2.1,1.2,5.71,0.89,0.92,3.23,2.48,5.27,0.95,2.88,1.34,1.22,2.12,1.06,2.41,,,,,,
September,0.74,0.88,1.32,3.61,1.04,1.77,1.78,0.65,1.01,3.56,1.28,1.29,2.47,1.66,0.64,3.44,1.12,0.73,5.61,1.05,3.47,0.92,3.57,1.64,2.12,,,,,,
October,1.76,1.78,2.03,5.29,1.86,1.77,3.94,4.66,1.66,6.22,2.01,5.17,3.18,4.16,2.56,1.31,3.96,2.65,2.96,1.08,1.38,2.05,2.03,5.84,3.63,,,,,,
November,2.17,0.79,1.88,1.99,1.51,3.61,5.1,1.5,1.23,1.02,3.25,4.46,2.34,3.76,3.33,3.21,3.27,1.46,2.13,2.57,1.12,1.93,1.07,2.06,3.07,,,,,,
December,2.41,4.22,1.78,1.1,2.6,0.65,2.06,2.5,2.83,3.52,2.53,4.56,2.81,1.1,6.2,6.18,3.22,2.25,1.92,3.1,2.32,1.66,2.51,2.38,3.23,,,,,,
Total,23.6,20.55,19.82,34.81,23.29,23.62,25.74,22.51,23.75,,27.09,27.43,28.88,25.06,27.41,32.85,30.21,26.4,26,26.78,23.03,15.45,24.29,26.38,32,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909 Jun estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
