GLOUCESTER WITCOMBE RESERVOIR,,,,,,,,,,,,
Grid ref,SO903149,Long,-2.142171,Lat,51.832626,,,,,,,
Station no,2166,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.11,1.73,1.28,3.44,3.48,0.95,4.81,1.18,1.16,0.96,,
February,6.32,1.32,0.98,1.67,5.48,0.93,1.76,1.29,1.04,0.57,,
March,1.18,2.44,1.60,3.80,1.54,4.20,1.49,0.62,3.12,3.68,,
April,1.10,3.00,2.43,2.09,1.02,2.86,0.64,3.53,2.12,2.26,,
May,2.93,1.39,2.38,3.89,2.36,0.39,2.13,2.21,1.82,1.18,,
June,2.62,2.46,3.13,4.64,1.17,5.36,3.41,3.09,0.72,3.45,,
July,2.45,1.71,1.13,4.29,2.82,0.90,1.09,3.64,2.15,2.35,,
August,2.99,1.74,2.85,3.18,2.23,4.90,1.33,1.80,3.93,2.35,,
September,0.53,1.90,1.55,2.30,2.43,1.72,0.68,0.51,1.92,3.81,,
October,3.23,1.03,2.45,7.63,0.59,1.58,4.84,6.59,1.22,4.20,,
November,1.94,1.14,2.11,1.81,1.49,3.67,3.12,1.97,1.34,0.96,,
December,6.00,4.93,2.19,1.63,1.65,0.67,1.61,4.47,2.04,3.93,,
Total,34.40,24.79,24.08,40.37,26.26,28.13,26.91,30.90,22.58,29.70,,
Calc annual,34.40,24.79,24.08,40.37,26.26,28.13,26.91,30.90,22.58,29.70,,
Difference,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,,
