Rainfall at,WITCOMBE RESERVOIRS
,
Station no,2166,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,4.27,2.69,3.82,1.68,3.45,2.09,3.40,3.17,4.64,0.94,5.13,
February,1.01,0.22,3.52,6.19,0.48,4.39,1.78,3.18,2.24,0.56,0.52,
March,3.45,1.59,2.70,2.18,0.95,0.28,0.21,3.09,2.79,0.13,2.17,
April,4.53,1.08,2.78,2.78,2.89,2.24,3.12,1.60,1.29,0.78,2.47,
May,1.59,1.76,0.67,2.07,6.38,3.19,2.87,0.88,0.91,2.00,1.22,
June,2.54,0.20,0.92,0.35,2.33,0.00,1.98,3.59,2.36,1.09,0.98,
July,4.43,0.43,4.56,2.19,4.49,3.04,2.85,2.85,2.22,1.91,2.91,
August,1.28,3.36,5.07,2.66,2.89,2.41,1.77,4.17,1.97,2.04,3.06,
September,2.25,1.67,2.15,2.96,3.83,3.78,0.54,5.41,0.92,0.30,3.22,
October,1.93,1.57,1.03,5.91,4.08,2.20,3.20,1.66,5.20,4.53,1.87,
November,0.95,2.28,1.37,1.50,2.44,1.50,6.86,2.15,3.02,8.69,3.43,
December,2.77,1.41,4.33,2.44,3.55,2.65,0.38,3.02,2.42,7.60,3.13,
Total,31.00,18.26,32.92,32.91,37.76,27.77,28.96,34.77,29.98,30.57,30.11,
Calc annual,31.00,18.26,32.92,32.91,37.76,27.77,28.96,34.77,29.98,30.57,30.11,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
