Rainfall at,WITCOMBE RESERVOIR
,
Station no,2166,
,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,2.57,2.69,5.30,1.86,1.54,2.89,1.86,4.64,1.26,0.35,
February,2.85,0.41,1.34,0.70,2.05,1.72,1.17,1.06,1.31,5.78,
March,2.41,1.81,0.96,0.36,1.12,0.89,6.29,1.17,1.22,1.61,
April,1.37,1.31,0.85,0.94,1.19,2.17,2.41,2.22,2.11,1.60,
May,2.10,3.28,3.13,0.74,2.27,3.06,1.70,4.41,2.38,2.08,
June,2.09,0.14,1.76,2.82,3.29,2.09,1.69,2.07,0.65,2.63,
July,2.66,1.82,0.79,2.33,2.06,1.00,2.43,0.83,0.77,3.61,
August,4.69,4.02,1.95,2.93,1.48,7.38,0.47,4.46,1.42,4.35,
September,0.58,1.75,1.80,2.74,1.60,4.09,1.74,3.00,1.66,3.46,
October,2.33,2.61,2.01,4.39,3.06,0.79,0.31,2.91,5.39,0.81,
November,2.47,1.46,1.44,4.34,0.44,4.96,1.38,1.35,2.61,4.90,
December,1.99,3.31,1.44,1.82,4.99,2.69,2.04,4.39,1.17,1.59,
Total,28.11,24.61,22.77,25.97,25.09,33.73,23.49,32.51,21.95,32.77,
Calc annual,28.11,24.61,22.77,25.97,25.09,33.73,23.49,32.51,21.95,32.77,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,
