"WITCOMBE RESERVOIR",,,,,,,,,,,,
Grid ref,SO903147,Long,-2.142165,Lat,51.830828,,,,,,,
Station no,2166,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.78,2.11,0.75,1.22,2.07,3.04,2.52,2.54,5.26,4.70,,
February,4.20,0.63,1.57,2.43,1.39,0.29,3.24,3.44,0.08,2.38,,
March,3.83,2.19,0.63,2.52,1.53,0.59,2.31,1.37,2.84,1.70,,
April,3.05,2.12,2.33,0.27,0.92,2.63,0.09,0.88,3.47,1.22,,
May,2.56,2.67,2.33,1.42,4.01,0.70,1.58,2.87,1.03,1.22,,
June,0.85,1.85,2.00,4.75,3.50,2.05,1.25,4.26,1.99,2.90,,
July,0.83,0.32,2.81,2.76,0.23,3.23,3.39,3.24,2.51,3.32,,
August,5.86,4.81,2.95,3.88,0.32,3.57,3.55,2.48,1.42,3.67,,
September,2.59,1.22,2.81,3.54,0.59,3.28,2.82,4.18,0.23,3.93,,
October,0.81,2.84,2.25,2.96,1.33,1.45,1.64,2.54,2.00,5.54,,
November,7.17,2.78,0.80,5.53,3.22,0.77,1.98,3.14,3.64,4.48,,
December,2.40,2.27,0.72,2.45,3.24,3.80,2.45,3.32,6.39,2.51,,
Total,36.93,25.81,21.95,33.73,22.35,25.40,26.82,34.26,30.86,37.57,,
Calc annual,36.93,25.81,21.95,33.73,22.35,25.40,26.82,34.26,30.86,37.57,,
Difference,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,,
