BURNLEY WW RAMS CLOUGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD903326,Long,-2.148715,Lat,53.789624,Elevation,1236,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2961/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,6.45,7.04,2.86,2.37,5.21,7.21,7.27,4.75,5.83,4.88,11.13,3.5,4.22,6.08,7.28,1.85,4.93,2.96,5.88,4.68,6.39,3.88,6.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,2.16,4.81,1.97,6.86,2.26,3.5,2.73,5.74,6.89,2.59,3.73,4.21,6.92,4.62,2.07,2.5,4,3.33,2.02,5.5,9.55,0.76,5.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,2.36,3.15,3.2,4.77,4.27,1.24,0.81,1.81,1.65,7.61,2.85,2.31,3.14,5.48,2.58,2.18,4.01,2.98,2.03,4.59,2.57,2.23,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,0.97,2.47,3.75,2.7,2.11,2.55,2.91,2.68,1.29,5.22,3.09,4.51,3.54,2.97,4.08,3.78,0.8,2.62,4.16,0.33,1.76,4.08,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,4.22,1.78,1.18,2.59,3.64,3.27,3.46,4.77,1.96,2.85,1.66,3.05,2.43,3.36,2.48,2.82,4.33,4.59,2.18,1.64,5.47,1.98,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,4.27,3.3,0.9,0.46,1.33,3.7,4.01,4.55,3.4,3.19,5.92,0.78,2.97,1.8,3.42,3.34,3.58,3.46,2.76,2.15,5.33,3.77,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,5.08,6.9,4.76,1.95,5.26,3.01,3.21,2.89,3.87,4.33,2.58,2.48,5.39,4.82,3.41,6.01,6.09,1.08,5.58,6.25,4.06,3.27,7.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,6.4,3.97,2.47,6.08,3.91,6.45,3.78,4.24,7.53,0.27,4.84,3.29,7.38,5.15,6.34,6.48,8.33,1.37,12.62,7.13,4.98,0.92,6.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,2.23,1.55,4.19,0.71,2.85,4.72,6.95,3.09,8.31,3.32,3.57,1.46,8.72,2.96,5.06,4.81,6.2,3.88,4.72,7.08,5.39,0.29,3.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,10.79,2.3,5,5.18,7.96,3.14,5.14,6.43,1.28,1.4,2.7,6.76,3.25,1.69,6.91,2.53,8.84,3.68,2.58,6.57,4.64,5.89,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
