"SNELSTON RECTORY",,,,,,,,,,,,
Grid ref,SK144431,Long,-1.786957,Lat,52.985049,,,,,,,
Station no,RR4004,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.12,2.23,1.77,2.13,2.60,1.55,5.06,1.62,1.57,1.66,,
February,3.77,1.05,1.78,0.79,4.00,0.87,2.86,2.36,2.60,0.82,,
March,0.71,3.34,1.86,3.02,2.02,4.38,2.59,2.05,2.92,3.15,,
April,1.36,1.83,1.94,1.50,2.14,1.34,1.41,1.93,2.96,2.97,,
May,1.29,0.17,2.52,3.05,1.69,0.78,3.18,3.63,3.27,1.60,,
June,3.71,1.54,2.37,0.72,0.81,1.51,1.56,4.61,2.15,2.68,,
July,2.18,3.21,1.80,3.26,1.94,2.73,0.69,2.75,3.25,3.11,,
August,3.02,1.72,3.09,4.58,4.17,3.99,2.45,3.35,2.88,2.84,,
September,0.51,1.11,1.82,7.56,1.74,1.57,1.23,0.81,3.14,3.04,,
October,3.43,2.16,2.52,5.97,1.76,1.88,6.02,5.95,1.34,5.69,,
November,2.29,2.34,2.01,3.10,1.96,3.19,2.74,3.38,2.39,0.68,,
December,3.99,3.80,1.85,1.80,1.96,1.17,4.26,2.74,2.44,6.00,,
Total,30.38,24.50,25.35,37.48,26.79,24.96,34.05,35.18,30.91,34.24,,
Calc annual,30.38,24.50,25.33,37.48,26.79,24.96,34.05,35.18,30.91,34.24,,
Difference,-0.00,-0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
